"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc36"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc37"	1.05	2.18	0.85	2.3	1.28	0.17	0.63	2.48	1.35	2.93	1.25	2.48	2.48	1.23	2.22	6.21	0.93	3.23	1.25	0.5	1.13	1.15	4.03	0.42	3.8	1.58	2	1.52	2.75	2.48	2.33	0.25	3.23	1.7	0.75
"njc38"	0.08	0.23	0.05	0	0.1	0	0.03	0.5	0.05	0.68	0.05	0	0.1	0	0	0.93	0	0	0.03	0.03	0.03	0.03	1.58	0	0	0.13	0.32	0.05	0	0.12	0.1	0	0.08	0.03	0.03
"njc39"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.05	0.03	0.1	0	0	0	0	0	0	0	0.03	0.05	0	0	0.08	0	0	0	0	0.03	0	0	0	0	0.05
"njc40"	0.05	0.03	0.03	0	0.05	0	0.03	0.48	0.05	0.65	0	0	0	0	0	0.9	0	0	0.03	0.03	0	0	1.58	0	0	0.1	0.3	0.05	0	0.1	0.1	0	0	0	0
"njc41"	14.12	14.75	18.48	26.5	20.32	1.77	21.61	21.61	18.53	25.07	29.31	33.3	25.04	13.15	38.65	38.04	33.61	19.89	18.31	18.73	42.44	11.38	28.14	1.57	23.16	14.93	21.9	24.12	34.43	15.9	19.58	1.95	39.89	22.36	15.62
"njc42"	0.08	0.23	0.05	0	0.13	0	0.03	0.5	0.05	0.68	0.08	0	0.1	0	0	0.93	0	0	0.03	0.03	0.03	0.03	1.58	0	0	0.13	0.32	0.05	0	0.12	0.13	0	0.1	0.03	0.05
"njc43"	0.05	0.03	0	0	0.05	0	0	0.4	0	0.05	0	0	0	0	0	0.7	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0	0	0
"njc44"	11.42	8.62	15.08	20.17	12.96	1.32	17.81	16.53	15.15	17.89	17.78	25.74	19.54	9.4	27.68	30.28	25.76	15.49	13.78	14.11	24.97	8.78	26.46	1.23	16.83	10.66	15.88	19.45	25.18	12.75	13.1	1.65	24.31	15.61	9.36
"njc45"	14	14.65	18.46	26.28	20.09	1.75	21.61	21.36	18.5	24.84	29.09	33.22	24.77	13.13	38	37.72	33.18	19.66	18.26	18.63	41.87	11.2	28.01	1.55	22.44	15.03	21.85	24.02	34.23	15.82	19.08	1.95	39.54	22.34	15.52
"njc46"	0.05	0.03	0	0	0.05	0	0	0.43	0	0.05	0	0	0	0	0	0.73	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0.03	0	0
"njc47"	0.13	0.1	0.18	0.3	0.18	0	0.03	0.55	0.35	1.05	0.18	0.85	0.8	0.03	0.35	1.68	0	0.23	0.6	0.05	0.03	0.08	1.5	0.03	1.93	0.3	0.6	0.32	0.05	0.3	1.03	0.05	0.43	1.1	0.13
"njc48"	15.65	21.91	49.5	23.77	13.74	1.32	18.26	17.95	15.18	17.94	27.74	26.12	30.7	9.48	27.7	30.3	25.73	20.37	13.86	14.11	28.3	18.93	26.79	1.23	16.78	11.21	16	19.45	25.18	29.2	14.23	1.65	24.34	24.24	45.02
"njc49"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
"njc50"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc51"	13.95	14.55	18.38	25.98	19.96	1.75	21.61	21.31	18.13	24.04	28.89	32.52	23.99	13.13	37.65	37.44	33.16	19.41	17.63	18.61	41.84	11.13	28.01	1.55	20.46	14.81	21.8	23.82	34.18	15.75	18.13	1.93	39.07	21.36	15.37
"njc52"	0.05	0.03	0.1	0.38	0.05	0.03	0.05	0.55	0.03	0.15	0	0.2	0.1	0.13	0	0.7	0	0	0	0	0	0	0.85	0	0.03	0.03	0.35	0.32	0	0.05	0.33	0.03	0	0.05	0.03
"njc53"	0.98	2.03	0.9	2.38	1.15	0.3	0.78	2.68	0.98	1.78	1.08	2.18	1.75	1.53	1.88	6.69	0.93	2.88	0.65	0.4	1.1	1.05	4.33	0.4	1.85	1.45	2.15	1.65	2.6	2.35	1.68	0.22	2.75	0.9	0.63
"njc54"	0.08	0.08	0	0	0.05	0	0	0.5	0	0.13	0.03	0	0.1	0	0	0.88	0	0	0	0.03	0.03	0.03	0.78	0	0	0.05	0.28	0.05	0	0.12	0.1	0	0	0	0.03
"njc55"	7.49	7.61	0.73	2.33	0.98	0.05	0.65	3.3	0.4	1.15	4.63	1	12.03	0.2	0.55	1.03	0.08	3.45	0.98	0.03	3.18	6.65	1.48	0	2.68	1.7	0.52	0.58	0.05	9.53	1.7	0.05	0.63	4.38	2.58
"njc56"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
"njc57"	0.03	0.05	0.03	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0.03
