tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	8	16	92	7	21	0	0	0	0	0	0	114	1	0	0	0	0	10	21	0	0	81	11	382
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	4	0	2	18	41	34	37	28	25	21	36	5	18	8	8	30	2	2	5	10	7	1	14	356
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	1	0	0	14	32	14	3	4	8	4	19	44	12	15	55	5	1	2	36	13	0	39	30	351
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	187	0	0	3	0	2	1	0	1	0	0	4	0	0	0	13	1	20	0	10	1	33	28	304
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	1	6	54	12	14	0	3	5	2	5	0	34	66	4	1	2	0	9	26	9	0	35	6	294
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	18	2	17	0	0	0	0	0	0	0	1	103	1	0	0	0	0	12	105	0	0	1	15	275
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	25	175	0	0	0	0	0	0	2	1	8	5	0	5	0	0	0	3	0	0	32	1	257
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	3	1	1	18	28	0	0	5	0	0	1	1	0	37	93	15	0	0	0	12	0	3	34	252
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	2	6	46	0	0	0	1	7	3	0	47	40	0	16	29	2	0	4	0	12	0	33	0	248
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	11	22	50	1	0	0	0	0	1	10	0	30	0	0	0	0	0	4	12	0	5	60	20	226
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	2	0	0	0	4	0	0	0	1	1	2	99	11	0	0	0	0	8	33	0	3	26	24	214
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	1	5	27	11	7	0	1	3	1	2	2	27	46	5	9	1	0	5	17	4	0	26	5	205
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	7	0	11	14	28	3	10	18	8	11	3	6	2	10	8	6	0	2	4	40	1	4	4	200
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	3	0	0	0	0	69	0	7	5	0	0	0	0	0	0	0	3	10	0	45	0	50	0	192
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	3	19	3	0	0	0	0	0	0	0	0	90	75	190
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	2	0	1	8	18	0	0	2	0	0	3	1	0	29	73	10	0	0	0	14	0	0	23	184
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	2	7	24	5	6	0	2	7	0	2	2	17	38	6	5	0	0	6	25	1	0	23	6	184
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	2	0	1	0	0	0	2	11	53	8	0	17	2	0	0	0	0	37	1	2	0	1	45	182
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	37	0	27	3	0	1	2	0	0	0	1	6	21	0	59	0	9	0	166
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	4	13	34	28	2	0	0	0	14	0	0	21	35	0	0	0	0	0	8	0	0	0	3	162
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	3	0	15	12	20	0	0	2	3	0	7	13	0	19	34	9	0	4	0	8	0	6	7	162
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	2	0	1	11	14	13	14	22	7	8	5	3	6	4	4	7	0	2	6	10	9	0	12	160
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	10	0	4	13	17	1	1	7	6	2	0	11	6	3	1	0	2	16	16	6	0	22	5	149
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	12	8	26	1	1	0	0	0	3	0	0	2	20	0	0	0	0	18	9	0	5	8	21	134
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	2	3	5	6	12	2	3	11	7	2	3	10	12	8	7	1	0	4	13	6	0	5	7	129
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	2	2	10	12	9	0	0	3	1	1	0	16	13	1	8	0	2	4	10	5	0	27	2	128
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	5	0	0	10	16	5	8	0	3	32	3	9	2	2	5	0	0	2	8	2	0	13	0	125
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	3	2	9	2	6	0	0	1	0	1	1	21	19	3	6	0	0	1	20	7	0	8	3	113
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	18	4	6	0	0	0	0	0	0	0	0	55	0	0	0	0	0	7	11	0	0	2	9	112
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	5	0	18	0	1	1	0	0	0	0	23	1	34	0	0	6	0	0	0	0	0	0	13	102
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	11	12	21	1	0	0	0	1	1	0	0	1	5	0	0	0	0	8	13	0	2	5	18	99
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	4	1	0	19	5	6	4	4	2	12	1	2	3	2	0	0	0	5	6	7	2	4	8	97
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	71	0	97
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	16	0	0	0	0	0	0	7	12	0	0	0	0	13	6	2	0	26	0	10	1	0	0	93
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	4	0	4	5	11	0	0	5	4	0	0	10	0	1	4	1	0	5	12	3	0	18	4	91
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	0	7	0	0	1	3	18	4	12	1	10	10	0	0	0	0	4	1	2	1	1	6	82
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	2	0	1	1	14	0	0	2	0	0	0	0	0	19	29	0	0	0	0	2	0	0	11	81
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	1	0	3	4	11	0	4	7	0	1	1	7	4	1	2	0	0	2	2	11	0	12	8	81
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	1	0	0	9	14	0	0	1	0	0	0	0	0	12	23	5	0	0	0	5	0	0	11	81
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	1	0	2	2	3	7	6	17	3	1	6	5	2	0	2	1	0	1	2	4	4	1	5	75
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	6	0	0	32	2	0	1	1	1	0	0	1	1	0	1	0	0	3	9	0	0	11	4	73
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	3	1	2	5	9	0	1	3	2	0	0	3	6	1	1	0	0	9	7	8	0	6	3	70
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	15	0	3	0	0	0	1	0	6	1	7	0	1	1	1	0	0	0	0	0	9	0	21	66
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	1	0	0	0	2	53	65
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	6	8	2	2	1	2	12	1	3	2	0	5	0	0	1	4	2	0	11	3	65
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	1	0	0	8	7	2	1	3	1	8	0	2	3	3	3	1	2	3	4	6	2	3	2	65
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	6	3	0	0	0	0	0	1	0	0	8	0	0	0	0	0	2	28	0	0	11	5	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella shahii	0	0	0	7	14	0	0	0	0	0	0	0	0	11	17	2	0	0	0	5	0	0	8	64
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	3	0	5	7	11	1	0	4	2	1	0	3	1	3	0	0	1	6	3	2	0	7	2	62
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	1	1	4	0	2	0	0	3	1	1	0	0	2	0	0	7	16	0	0	22	1	61
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	4	0	1	5	4	1	4	2	5	3	1	4	1	2	1	0	0	4	3	3	1	1	10	60
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	3	0	0	1	2	0	0	6	0	1	0	0	0	0	0	3	0	40	2	58
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	2	6	1	3	0	0	1	1	1	1	5	17	2	0	0	0	1	5	1	1	7	1	56
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	0	0	6	3	1	0	0	1	4	0	0	6	11	3	1	0	0	2	2	3	1	7	4	55
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	2	7	10	0	0	0	0	0	0	2	2	8	1	0	0	0	0	1	7	0	0	14	1	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	1	0	0	27	3	0	0	0	1	0	0	2	1	0	0	0	0	1	4	1	0	10	2	53
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	2	0	4	3	2	5	4	3	5	3	2	1	4	0	0	2	0	2	4	3	1	1	1	52
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	3	0	0	0	0	3	5	3	15	4	0	5	2	2	3	1	0	0	1	2	0	0	3	52
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	4	8	0	1	0	0	0	2	0	0	0	4	33	52
