tax	BUD-57-MGE-S165	CM-NTC-009	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	10	0	1	0	14	20	14	25	7	37	0	0	7	15	0	1	1	2	12	7	9	12	17	5	216
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	1	0	2	0	0	4	14	0	0	0	0	1	17	0	0	0	0	0	55	16	1	57	28	5	201
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	11	0	1	0	1	11	6	8	11	32	0	0	6	10	0	12	8	20	23	3	5	15	13	3	199
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	17	0	6	0	0	23	18	28	19	0	0	0	3	15	0	3	5	5	12	3	37	0	0	0	194
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	74	26	41	0	0	0	183
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	1	0	1	0	0	15	2	7	5	1	0	0	4	14	0	7	0	1	13	0	58	34	6	3	172
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	9	0	0	0	0	0	0	0	0	103	0	0	0	0	0	10	6	0	0	0	0	0	37	5	170
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	4	0	2	0	1	9	13	26	6	18	0	0	6	14	0	9	0	9	4	1	24	7	11	4	168
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	10	1	3	0	0	12	1	3	16	18	1	0	15	6	0	0	0	4	28	5	1	23	12	5	164
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	1	0	2	0	0	6	0	1	4	78	0	0	12	15	0	0	0	0	0	7	27	1	0	0	154
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	0	0	0	0	0	16	5	44	3	6	0	0	6	0	0	5	1	0	4	3	41	13	2	1	150
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	78	26	6	150
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	4	0	1	0	9	4	4	12	9	41	0	0	1	7	0	8	2	11	6	2	5	7	8	1	142
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	4	0	1	1	1	11	7	1	19	27	0	1	11	2	0	0	1	1	23	7	3	11	9	1	142
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	2	0	4	0	0	52	4	17	23	0	0	0	0	0	0	6	0	0	6	7	1	10	2	0	134
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	0	1	0	0	9	13	11	4	1	0	0	12	5	0	0	2	2	11	0	11	28	18	0	129
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	4	0	2	0	1	8	12	18	3	18	0	0	2	6	0	5	3	1	1	1	28	2	2	1	118
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	5	0	2	0	0	0	0	0	0	76	0	1	0	0	0	6	1	0	0	0	0	8	9	4	112
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	8	0	3	0	6	5	17	13	2	6	0	0	6	6	0	0	4	0	8	1	5	8	9	5	112
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	96	0	0	0	0	107
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	3	0	3	0	12	7	12	14	7	4	0	0	2	13	0	3	4	12	4	1	1	4	1	0	107
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	68	0	1	0	0	6	0	2	0	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	101
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	4	0	0	0	0	0	0	0	0	68	0	0	0	0	0	5	1	0	0	0	0	0	18	1	97
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	0	0	0	0	2	2	5	5	12	0	0	3	9	0	7	2	3	5	8	5	9	2	0	80
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	4	0	0	0	0	5	0	2	3	42	0	0	0	1	0	4	5	2	0	0	2	0	7	1	78
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	1	0	0	0	0	8	2	2	6	10	1	0	5	8	0	5	1	0	5	3	6	4	8	1	76
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	4	0	0	11	8	13	7	5	5	73
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	3	0	1	0	0	5	10	18	1	0	0	0	6	4	0	4	2	2	5	0	1	5	4	1	72
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	6	0	1	0	0	4	3	0	4	11	0	0	5	2	0	4	1	3	7	5	0	7	5	1	69
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	10	0	5	0	1	0	0	0	0	0	0	0	0	0	7	45	0	0	0	68
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	0	0	0	1	9	3	3	5	8	0	0	4	1	0	0	0	1	10	3	2	6	8	3	67
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	1	0	0	0	3	5	9	7	4	0	0	0	2	4	0	2	1	0	4	0	23	0	0	0	65
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	5	0	3	0	0	8	0	0	11	7	0	2	4	1	0	2	0	1	11	2	1	6	1	0	65
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	1	0	2	0	2	11	2	32	4	0	0	0	2	0	0	0	0	0	1	2	4	0	2	0	65
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	5	0	0	0	5	2	4	5	3	7	0	0	1	7	0	3	3	6	1	0	3	4	4	1	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	0	0	0	5	3	18	0	20	0	0	0	0	0	4	0	0	0	1	6	2	3	0	62
