tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	12	19	0	70	114	60	10	34	4	7	0	0	44	202	1	26	19	9	26	67	60	29	143	60	1016
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	12	205	0	80	56	66	93	38	56	4	7	38	15	18	41	90	20	42	8	18	9	31	17	39	1003
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	987	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1001
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	39	0	2	0	0	0	2	0	0	11	6	13	168	219	0	17	2	15	70	13	12	362	13	964
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	13	5	0	45	81	18	9	52	26	2	0	0	44	101	63	46	37	48	15	41	33	44	6	197	926
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	13	23	0	72	93	64	31	84	19	17	6	4	45	78	47	38	17	39	16	35	39	25	28	61	894
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	1	0	0	1	0	0	0	0	0	331	73	233	4	0	0	197	0	9	15	14	1	7	5	891
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	15	5	0	66	28	8	0	29	2	16	0	1	44	162	9	28	16	19	18	93	86	22	94	55	816
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	9	115	0	31	92	22	6	7	11	4	8	1	10	72	107	9	44	2	7	39	22	30	12	104	764
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	14	0	4	112	0	0	0	0	0	0	0	26	108	0	1	5	0	31	141	82	46	53	74	697
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasihormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	647	5	0	0	654
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	12	0	0	41	19	0	0	36	169	5	0	0	27	0	61	183	18	23	3	6	7	3	0	0	613
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	29	0	579	0	0	610
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	261	0	0	0	0	0	0	5	6	0	38	45	20	0	17	1	1	21	86	3	34	15	0	54	607
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	71	0	0	2	0	0	0	209	187	54	0	0	0	0	14	1	0	11	0	0	0	0	0	0	549
