tax	CHA-48-MGE-S286	CM-NTC-014	FRA-37-MGE-S279	FRA-50-MGE-S296	GIN-36-MGE-S277	GRO-42-MGE-S291	GRO-48-MGE-S278	GRO-52-MGE-S299	HAM-48-MGE-S298	HER-20-MGE-S283	HER-48-MGE-S293	IRI-14-MGE-S287	IVY-49-MGE-S294	JOA-45-MGE-S285	JOA-46-MGE-S292	JOA-50-MGE-S288	KOR-50-MGE-S295	KUB-17-MGE-S281	KUB-52-MGE-S289	LAM-42-MGE-S280	MAR-45-MGE-S284	MAR-52-MGE-S297	PAD-17-MGE-S282	PAD-7-MGE-S290	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	58	0	3	0	0	0	1	2	8	1	3	4	26	0	0	0	0	8	0	6	10	0	4	5	139
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	4	0	18	7	6	7	3	6	17	11	17	3	2	3	7	0	2	0	6	1	7	5	0	2	134
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	3	0	14	5	14	9	4	6	8	4	12	2	3	5	5	2	8	5	9	1	3	8	0	4	134
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	0	0	4	24	0	0	0	0	0	0	0	25	0	36	18	22	0	0	0	0	0	0	0	0	129
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	0	0	2	20	0	0	0	0	0	0	0	29	0	31	20	18	0	0	0	0	0	0	0	0	120
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	25	10	0	0	0	0	14	14	17	0	0	0	0	0	2	25	12	0	0	0	0	0	119
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	11	7	7	1	3	1	8	6	5	14	1	0	0	8	13	3	15	0	0	7	0	0	110
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	1	0	16	0	0	5	4	6	19	3	11	1	0	3	3	2	5	15	10	0	6	0	0	0	110
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia;Kosakonia cowanii	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	100	0	0	101
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	0	0	16	2	0	2	0	3	11	5	5	5	4	2	4	2	3	15	9	0	6	3	0	3	100
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	33	0	6	1	4	1	0	0	6	13	13	8	6	0	0	1	2	2	0	0	2	1	0	0	99
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	0	0	1	2	0	1	0	1	1	1	0	0	3	0	3	1	1	75	6	0	1	1	0	1	99
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	20	0	21	3	2	1	0	0	0	5	2	0	0	0	0	3	0	2	11	27	0	0	97
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	4	2	0	7	0	0	31	10	14	12	0	0	0	1	3	0	7	0	0	2	0	0	93
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	88
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	0	0	12	7	0	4	0	0	0	0	0	44	1	3	1	15	0	0	0	0	0	0	0	1	88
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter hormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	83	0	85
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	64	18	0	84
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chuandaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	2	0	78
