"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0.00075	0.00025	0	5e-04	0	0	0	0.00025	0	5e-04	5e-04	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.001	0	0	0.00025	0	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0	0.00175	0	0	0.00025	0	0	0	0	0	0.00025	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0.00025	0	0	0	0	0	0	0	0.00025	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0.000125	0	0	0.00075	0.00025	0.001	0	0	0	0	0.00025	0	0.00025	0	0	0.00025	0	0	0.00025	0.00025	0	0	0.00025	0	0.00025	0	0	0.00025	0	5e-04	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.00075	0	5e-04
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0.00025	0	0.00275	0	0	5e-04	0	0.00075	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.001125	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0.00075	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.00025	0	0	0	0	0.00075
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0.00025	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0.00025	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	5e-04	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0.00025	0.00025	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae"	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
