"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"hera_24"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"txid29370"	4	7	8	8	4	3	4	8	8	0	1	3	0	0	0	1	2	1	0	0	2	0	0	1	6	1	0	0	1	2	0	0	0	1	3	2	1	2	3	1	3	3	0	6	3	0	1	6	2	0	0	2	9	0	3	0	0	1	1	0	9	1	2	0	2	0	1	1	1	0	6	3	1	1	3	1	5	0	2	1	0	1	0	3	0	2	0	1	1	1	2	3	0	1	18	1	2	1	3	4	1	9	2	1	1	3	7	0	0	0	1
"txid384636"	1	0	2	1	1	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	2	0	1	0	0	0	1	1	0	0	1	0	0	1	0	2	1	0	1	2	2	0	0	0	3	0	3	0	0	0	1	2	3	0	0	2	1	0	4	0	1	0	1	3	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	1	1	1	0	2	6	0	2	0	1	0	0	0	0
"txid168384"	2	1	2	2	0	1	1	3	4	0	0	3	0	0	0	4	4	4	0	0	4	1	0	0	5	6	1	0	2	2	0	4	1	0	2	2	3	5	7	0	6	3	1	6	6	0	1	2	3	3	0	1	1	4	2	0	2	0	1	0	3	0	2	7	4	0	0	1	2	1	5	3	3	2	7	5	9	1	1	4	2	5	0	5	0	2	6	2	4	1	2	3	0	2	5	0	0	0	1	3	3	4	0	3	4	5	13	1	0	2	1
"txid1298596"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0
"txid411470"	14	39	146	120	295	43	6	90	84	0	35	7	0	5	0	23	5	0	0	19	1	3	0	0	19	22	5	0	7	2	0	3	2	30	33	49	0	0	0	0	8	2	0	5	1	0	0	17	0	0	2	5	4	1	3	0	4	0	4	0	16	59	0	0	4	8	1	0	2	0	24	10	0	0	0	4	0	60	0	0	0	0	3	1	10	0	0	0	0	0	13	7	9	1	20	0	2	0	1	3	275	0	49	3	0	15	14	428	1	0	30
"txid471875"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
"txid1653435"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
"txid1337051"	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	1	0	0	0	2	0	0	1	1
"txid796944"	7	2	18	6	5	21	6	5	7	3	6	10	0	0	0	15	10	15	0	8	5	2	1	18	21	9	3	15	43	14	1	12	8	12	11	6	11	37	76	4	24	39	9	20	44	0	4	15	39	12	3	3	12	31	18	1	18	9	40	13	19	8	13	23	27	5	12	6	34	4	16	29	22	19	53	28	94	12	11	20	7	29	3	21	1	3	21	4	14	10	7	11	2	8	40	2	4	13	26	13	7	31	15	24	35	15	117	3	0	12	8
"txid796943"	111	37	103	37	22	91	54	96	113	7	59	141	0	1	3	125	91	157	0	143	22	12	5	313	149	144	38	134	199	247	20	95	72	154	104	104	252	286	383	24	242	195	34	141	235	1	27	128	158	115	31	62	62	188	110	13	79	56	182	62	84	29	44	152	130	17	109	34	144	32	168	144	200	91	261	135	398	48	64	180	68	164	27	136	20	73	119	43	246	159	159	162	19	46	135	46	71	51	177	260	27	114	63	156	179	166	599	34	3	53	75
