"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Marvinbryantia"	0	0.00125	5e-04	0.00025	5e-04	0	0	0.00025	0.00025	0.00075	5e-04	5e-04	5e-04	0	0	5e-04	0	0.00125	0.00025	0.00075	0	0.001	5e-04	0.00025	0.00025	0.00125	0.00025	0.00025	0.001	0.00025	0.001	0	5e-04	0.00025	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Anaeromassilibacillus"	0	0	0.00025	0.0025	0	0	5e-04	0.001	0	0.001	0	0	0.00025	0.00075	0	0	0	0	0	0	0	0	0.00225	0	0.00025	0.00025	0.0015	0.0015	0	0	0.001	0	0	0.00075	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Hoylesella"	0.00125	0	0	0	0.001	0	0	0.0015	0	0	0	0	0	0	0	0.00775	0	0	0	0.001	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Eisenbergiella"	0.00025	0.00175	0.00025	5e-04	5e-04	0	0	5e-04	0	0	0.00075	0.00025	0	5e-04	0	0.00025	0	0	0.00075	0	0	0	0	0	0	0.001	0.00125	0.00075	0.00075	0.00075	0.00175	0	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0	0	0.00075	0.00025	0	0	0.001	0	0.00075	0.001	0.00075	0.00025	5e-04	0	0	0.00025	0.00025	0.00025	0.00025	0	0	0.00025	0.00025	0	0.004	0.00025	0	5e-04	0	0	0	0	0.00075	0	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.00025	0.00025	5e-04	5e-04	0.00025	0	0	5e-04	0.00025	5e-04	0.00025	0.001	0.00025	0.001	0.00025	0	0	0.00025	0.00025	0	0.001	0.00025	0	0	5e-04	0.00025	0.00075	0.00025	0.00025	5e-04	0.00025	0	0.001	0.00075	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.00025	0	0.00075	5e-04	0	0	0	0.00025	0	0.00025	0.00025	0.00125	0.00025	0.00025	0.00025	0	0.00025	5e-04	0.00025	0	0.00025	0	0	0	5e-04	0.00025	0	5e-04	0	5e-04	0.00225	0	0.00025	0.00075	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerocolumna"	0.00025	0.00125	0.00025	5e-04	0.00025	0	0.00025	5e-04	0	0.00025	5e-04	0	0	0	5e-04	0	0	0.00025	5e-04	5e-04	0.00025	5e-04	0	0	0	5e-04	0.00025	0.00025	5e-04	0.00025	0	0	0.00025	0.00025	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix"	0	5e-04	0.00025	0	0.001	0.00025	0	5e-04	0	5e-04	0	0.00025	5e-04	0.00025	0	5e-04	0	0	0	0	0.00025	0.00025	0	0	0	0.00025	5e-04	0.00025	5e-04	0	0.00075	0	5e-04	0.00025	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.00025	5e-04	0	0	0	0	0	0.00025	0	0	0.00025	0	5e-04	0	0.00025	0	0.00025	5e-04	0.00075	0	0.00075	0	0	0	5e-04	0.00025	0.00025	0	0	0	0	0	0.00075	0.00025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0	0	0	5e-04	0	0	0.00025	0.00025	0.00075	0	0	0	0	5e-04	0	5e-04	0	0	5e-04	0	0	0	0.00025	0	0	0.00175	0	0	0	0.00075	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Catenibacillus"	0	0	0.00075	5e-04	0	0	0	0.00025	0	5e-04	0	0.00275	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0.00075	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0	0	0	0	0	0	0	5e-04	0	0.001	0.00025	0	0	0	0	0.00325	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0	0.00025	0.00025	0	0	0	0.00025	0	0.00025	0	0.00075	0.00025	0.00025	0.00025	0	0	0	5e-04	0.00025	0	0	0	0.00025	0	0	0	0	0	0	5e-04	0	0	0	0.00025	0.001
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia"	0	0.00075	0	0	5e-04	0	0	0	0.00025	0.00025	5e-04	0.00025	0	0	0	5e-04	0	0	0.00025	0	0.00025	0	0	0	0	0.00025	5e-04	0	0	0	0	0	5e-04	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0	0	0.00025	0.00025	0.00025	0	0	0	0.00025	0	0.00025	5e-04	0	0	0	0.0015	0	0	0	0	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0	5e-04	0
