"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Hamlet_48"	"Hamlet"	"2023-04-26"	2	48	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B1"	"2017-03-05"
"Hera_48"	"Hera"	"2023-04-26"	2	48	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B1"	"2019-08-29"
"Iris_48"	"Iris"	"2023-04-26"	3	48	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2016-05-10"
"JarJarBinks_48"	"JarJarBinks"	"2023-04-26"	2	48	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2020-01-25"
"Korra_48"	"Korra"	"2023-04-26"	3	48	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2017-04-17"
"Kubo_48"	"Kubo"	"2023-04-26"	2	48	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2019-02-02"
"Lambchop_48"	"Lambchop"	"2023-04-26"	3	48	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomF"	"F1"	"2017-05-13"
"Ophelia_48"	"Ophelia"	"2023-04-26"	1	48	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_48"	"Wolverine"	"2023-04-26"	2	48	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2014-09-28"
"Iris_49"	"Iris"	"2023-04-27"	3	49	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2016-05-10"
"JarJarBinks_49"	"JarJarBinks"	"2023-04-27"	3	49	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2020-01-25"
"Kubo_49"	"Kubo"	"2023-04-27"	2	49	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2019-02-02"
"Ophelia_49"	"Ophelia"	"2023-04-27"	2	49	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_49"	"Wolverine"	"2023-04-27"	2	49	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2014-09-28"
"JarJarBinks_50"	"JarJarBinks"	"2023-04-28"	3	50	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2020-01-25"
"Korra_50"	"Korra"	"2023-04-28"	3	50	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2017-04-17"
"Kubo_50"	"Kubo"	"2023-04-28"	2	50	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2019-02-02"
"Lambchop_50"	"Lambchop"	"2023-04-28"	3	50	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomF"	"F1"	"2017-05-13"
"Ophelia_50"	"Ophelia"	"2023-04-28"	1	50	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_50"	"Wolverine"	"2023-04-28"	2	50	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2014-09-28"
"Lambchop_51"	"Lambchop"	"2023-04-29"	3	51	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomF"	"F1"	"2017-05-13"
"Goose_52"	"Goose"	"2023-04-30"	3	52	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomF"	"F1"	"2016-06-24"
"JarJarBinks_52"	"JarJarBinks"	"2023-04-30"	2	52	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2020-01-25"
"Kubo_52"	"Kubo"	"2023-04-30"	2	52	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2019-02-02"
