tax	CHA-46-MGE-S38	CM-NTC-003	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	1	0	56	3	2	0	1	7	2	4	11	17	7	0	0	1	2	2	54	0	45	0	0	0	215
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	62	0	0	0	19	27	12	0	0	1	37	3	10	0	13	0	20	0	7	0	0	0	211
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	0	5	0	0	0	5	31	9	3	1	33	0	0	0	0	4	0	9	0	0	0	2	106	209
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	6	0	63	3	2	0	5	20	5	3	1	8	21	5	3	7	10	5	20	0	1	0	3	3	194
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	2	0	29	2	4	1	29	19	5	1	2	0	15	9	31	2	0	5	13	0	8	1	3	0	181
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	4	0	60	2	4	4	2	16	6	2	1	4	30	5	2	7	6	5	11	0	0	0	0	1	172
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	9	0	0	0	9	4	17	32	18	0	0	0	0	14	18	7	5	5	0	0	0	2	4	19	163
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	6	0	5	15	15	5	8	3	4	1	6	6	4	22	13	16	2	6	3	0	2	0	9	0	151
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus xylosus	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	9	0	0	0	5	0	0	0	1	1	76	38	0	2	0	1	1	1	0	0	0	0	0	2	137
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	11	0	6	0	0	0	19	22	2	0	1	19	1	7	9	0	9	1	18	0	0	0	0	8	133
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	1	123
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	25	0	0	0	0	0	0	3	4	19	7	0	1	1	0	0	9	0	0	0	0	54	123
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	2	1	0	0	0	5	4	0	0	1	2	38	30	1	20	7	2	0	0	0	0	4	117
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	2	0	0	5	3	6	10	1	4	11	1	0	0	1	5	0	1	0	0	1	1	58	110
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	1	14	9	0	2	1	1	1	22	19	0	3	2	2	1	4	2	10	2	1	6	1	104
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	5	0	36	0	3	2	3	5	4	3	1	8	6	7	3	5	4	1	6	0	0	0	0	0	102
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	5	1	3	1	12	9	0	1	0	7	12	18	5	12	2	13	0	0	0	1	0	102
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	3	0	2	1	2	1	3	14	4	2	3	3	2	8	10	9	4	6	14	0	3	0	5	2	101
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	3	0	0	0	4	0	0	1	0	2	57	30	0	0	0	0	0	1	0	0	0	0	0	0	98
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	2	0	5	0	0	1	2	4	2	17	6	14	2	2	4	0	4	0	7	0	13	0	0	13	98
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	4	0	7	4	5	2	3	7	2	1	2	9	8	4	5	9	5	9	8	0	0	0	3	0	97
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	1	0	6	0	0	0	1	8	0	0	0	0	11	0	0	0	4	0	9	0	4	0	0	49	93
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	1	0	12	0	0	8	3	18	2	6	13	10	9	0	0	0	1	0	3	0	0	0	0	0	86
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	2	0	1	0	57	7	0	2	8	84
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	52	0	0	0	0	25	0	0	1	2	0	0	0	0	0	0	0	80
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	9	0	0	3	20	5	0	0	0	0	3	8	2	2	10	4	9	0	0	0	0	3	78
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	2	0	7	1	1	1	15	13	1	1	2	0	7	1	8	0	0	1	9	0	2	0	4	1	77
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	0	45	0	0	0	6	9	0	0	2	2	0	0	0	0	3	0	9	0	0	0	0	1	77
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	2	0	8	2	0	4	3	7	1	2	4	9	3	6	3	4	1	5	5	0	3	0	3	0	75
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	4	0	0	0	1	1	2	6	1	0	23	18	0	5	3	0	0	1	0	0	0	0	0	6	71
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	2	0	15	1	4	0	4	7	4	0	0	3	3	1	4	4	1	5	7	0	0	0	4	1	70
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	3	0	3	0	2	0	5	13	4	0	1	6	0	4	4	0	3	5	11	0	0	0	2	3	69
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	0	0	1	0	4	2	7	4	0	4	15	3	3	1	2	2	13	2	0	0	0	3	0	66
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	6	0	0	0	3	0	0	0	0	2	33	21	0	0	0	0	0	0	0	0	0	0	0	0	65
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	5	0	10	0	0	1	3	7	2	2	3	5	2	3	3	2	2	3	9	0	0	0	2	0	64
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	58	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	61
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	3	0	1	4	0	3	0	5	5	0	3	9	3	3	3	3	7	1	6	0	0	0	1	0	60
