tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	1	15	0	0	0	0	0	13	12	0	0	0	0	0	0	4	90	0	0	1	0	9	0	0	145
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	0	0	0	45	3	0	0	0	65	0	0	0	0	0	0	0	30	0	143
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	3	1	0	1	1	0	0	0	4	6	0	0	4	0	56	2	0	5	1	6	0	1	20	8	119
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	1	6	0	0	1	0	0	0	0	2	4	0	0	0	25	4	0	3	4	22	0	2	29	7	110
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	18	9	27	0	5	0	0	2	5	24	1	0	10	3	0	0	0	0	0	1	0	1	0	1	107
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	68	0	0	0	0	22	0	0	15	0	106
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	7	13	0	0	0	0	0	4	0	25	0	0	6	3	32	0	0	0	0	1	0	0	9	5	105
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	1	3	0	0	0	0	0	3	0	6	0	0	9	0	48	1	0	4	6	1	0	2	14	5	103
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	2	12	0	0	3	0	0	0	0	1	0	0	49	0	0	0	32	0	0	0	0	0	0	0	99
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	8	6	2	0	2	7	6	0	0	1	2	3	3	2	7	0	2	4	10	7	0	4	4	7	87
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	6	17	0	1	0	0	2	2	2	0	1	0	13	5	0	0	0	0	21	0	0	12	4	86
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	81	0	0	0	85
