tax	BUD-46-MGE-S81	CM-NTC-005	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	89	0	56	53	41	32	129	61	86	220	110	125	39	355	10	154	65	21	60	63	44	62	21	36	1932
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	363	0	6	19	9	7	48	21	151	36	39	88	156	148	40	149	59	50	15	15	69	102	0	0	1590
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	203	0	0	0	22	4	704	0	0	0	0	0	0	6	15	32	16	1	294	58	53	0	0	0	1408
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	48	0	81	49	61	95	79	28	35	47	114	125	138	135	0	52	28	14	23	16	99	20	7	52	1346
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	80	0	9	21	3	4	31	161	70	95	98	61	20	131	5	211	98	27	3	15	23	125	21	16	1328
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	62	0	9	31	6	4	52	152	71	115	89	63	29	86	49	186	71	29	0	0	6	138	59	14	1321
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	290	0	1	0	0	0	79	16	11	8	10	0	0	47	5	175	94	33	0	0	33	57	34	222	1115
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	18	0	84	0	0	0	259	52	0	0	0	0	0	171	0	169	21	16	85	42	43	13	0	111	1084
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	6	0	0	1	1	0	0	29	108	21	15	162	272	2	1	111	49	34	45	114	2	33	52	1	1059
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	13	0	1	0	0	0	0	23	149	6	9	92	153	0	1	202	61	41	0	15	1	85	113	78	1043
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	18	0	5	30	3	3	8	84	24	42	13	225	83	21	1	180	67	26	0	40	1	33	66	5	978
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	90	0	20	7	5	7	74	25	60	58	59	41	41	108	26	81	34	57	0	3	66	80	2	25	969
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	926	26	0	956
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	4	0	0	0	0	0	0	393	5	2	1	11	34	0	2	57	16	11	0	0	0	8	410	1	955
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	17	0	3	26	3	2	11	63	16	41	8	255	154	15	8	125	54	21	0	22	3	33	41	9	930
