"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"Cellular Processes|Cell motility"	0.00818774388642747	0.0104514763180877	0.0116817040346076	0.0066871449873695	0.00345330291378849	0.00315859612122092	0.00400559059851634	0.00541811032757705	0.00326358822917021	0.00342655149878897	0.00786517051171012	0.00488054043050054	0.0103710376980961	0.00384124489093624	0.00109299140302702	0.00416922459565507	0.00105606861946159	0.0077730830081228	0.00473375963626227	0.00224171854650663	0.00364982028030997	0.0107756367222309	0.0123515669703254	0.00332833122272115	0.00597710815230263	0.00386562267262903	0.0043958219074634	0.00161629631344183	0.0112924718110912	0.00526356725933026	0.00211890055372911	0.00199926492969647	0.0121574862963189	0.0111554456245167
"Human Diseases|Infectious diseases: Bacterial"	0.00653050782635715	0.00684538329242488	0.00720816484364627	0.00530563939332917	0.00436101883286051	0.00450703171101407	0.00444507009439972	0.00547862597899609	0.004136162108938	0.00453432979381004	0.00580247370735504	0.00455809074647171	0.00733559624286385	0.00454709388110382	0.00399279486528635	0.0052043499868015	0.00384170941336796	0.00627342987407438	0.00447220156937266	0.00384191962593928	0.00479327304111405	0.00717034573142731	0.00732984221343602	0.00487425121589441	0.00489285119170503	0.00466241407102555	0.00423006631139275	0.00438874742811713	0.00728839696596485	0.00439819338299423	0.00461942778581788	0.00412686124190805	0.00654171464569467	0.00714364167484125
"Organismal Systems|Endocrine system"	0.00364926628116172	0.00340831487912355	0.00326685181650645	0.00382827462569225	0.00404955534664637	0.00421792581536676	0.00430443125338219	0.00411574227239822	0.00428612954450565	0.00416179826882353	0.00358860981353184	0.00412373632254713	0.00340584294374175	0.00416053064542206	0.00422410690706398	0.00418590256357144	0.00423445402556012	0.00370821920151177	0.00432150513232991	0.00409925696641909	0.00389918106718152	0.00338042234214439	0.00340099309380837	0.00431376802811709	0.00419746302673145	0.0045485714887341	0.0042174558831614	0.00425906326268879	0.00336172673295597	0.00414408587843518	0.00443033931653102	0.00406145974895543	0.00315477965809559	0.00324919076321127
"Human Diseases|Cancers: Overview"	0.00335182307090372	0.00345965652024841	0.00377438299923397	0.00300815562896441	0.00263935496927609	0.00273066015085172	0.00287813622993726	0.00302119768351446	0.00266626675457592	0.00278300563952432	0.00313413563003735	0.00276896978741028	0.00362058354845741	0.00266340027117686	0.00257527813591103	0.00270548411703393	0.00256696343965883	0.00326103174523273	0.00283144814049134	0.0024231455817791	0.00283292808282716	0.00363073235406037	0.00316553596074437	0.00271641088510164	0.00286530850109201	0.00278365859818667	0.00255236399587073	0.00262446597248426	0.00365111801106387	0.00263413332789172	0.00276719400264561	0.00244965258336237	0.00362488273592626	0.00370714321273283
"Cellular Processes|Transport and catabolism"	0.0015128236937638	0.0015759607307122	0.00154442878678683	0.00172905189165213	0.00137147821863283	0.00201792324809161	0.00208960260095508	0.00222559961255939	0.00182430670204484	0.00217036972491051	0.00132740428806252	0.00216951643853298	0.00161129919789752	0.00201295612295994	0.00105807635999087	0.00262621678806325	0.000827652007718946	0.00171909885475324	0.0021150162976554	0.00123917748248255	0.00100251425245226	0.00150595995938911	0.00262519026097286	0.0021770346500792	0.00240091133260889	0.00311788363963935	0.00216028285589693	0.00168357991106986	0.00166053193124044	0.00212074983074921	0.00219299141313896	0.00135596083312513	0.001538825091403	0.00139127018084616
"Organismal Systems|Aging"	0.0021062212422303	0.00223877049192503	0.00241614090033757	0.00180643080121643	0.00152820076557793	0.00166972557704985	0.00160130067138117	0.00187506253734628	0.00156848623506636	0.00149006997774445	0.00194887287165481	0.00161467264083259	0.00232911145995164	0.00156328047963832	0.00140367479226464	0.00167435690339453	0.00137183249516172	0.00204994200940444	0.00165044447627631	0.00137832970834262	0.00164096377158285	0.00233048563061076	0.00218038761470103	0.00157614594720424	0.00182412633786341	0.00166225477800456	0.0015380774172933	0.0015241332269739	0.00236203736952492	0.00161029666161022	0.00158251942828726	0.00141754060048566	0.00229062676868369	0.00237564232823402
"Human Diseases|Drug resistance: Antineoplastic"	0.00169730134643078	0.00167483547063927	0.00171233473607969	0.00174095447081561	0.00184746209064425	0.00181363111695257	0.0018210841669588	0.00175258381762414	0.00179406463971146	0.00175414504692483	0.00176711824240798	0.00178955896975747	0.00168915703411873	0.00180591158492914	0.00190471795108469	0.00170956374537822	0.0018784928112742	0.00171563136942884	0.00181185829663811	0.00190260604216512	0.00190128457841496	0.00166822073858024	0.00159336338287028	0.00170938670243031	0.00171597759414648	0.0017825069116817	0.00174273651676174	0.00194831358484014	0.00164592675213548	0.00173985727673913	0.00178880004339257	0.00194879056897469	0.00176278338237642	0.00173629081063518
"Organismal Systems|Immune system"	0.00128852122999452	0.00121272930399172	0.00111115407199557	0.00155376527654671	0.00160466225957126	0.00179678121131031	0.00184862607781541	0.00169796873223548	0.00178712151078813	0.00183320416017317	0.00131046377706205	0.00182181263761996	0.00116477242334926	0.00181555854380423	0.00162414844328895	0.00200252958994474	0.00157449244676498	0.00143465608682784	0.00185066576231685	0.0016382985055844	0.00141438858975524	0.00114084582211733	0.00165765729342094	0.00192650685955343	0.00181086808989626	0.00209762153721921	0.0018590192120287	0.00177590768408355	0.00117584783919158	0.00180083076917559	0.00192056250891418	0.00165574881149835	0.0012782299432791	0.00107257770479145
"Human Diseases|Endocrine and metabolic diseases"	0.00159726080497916	0.0014379337336212	0.00154065598398096	0.00155240842419007	0.00165600910147479	0.00169433240102955	0.00162960946247518	0.0016380483054595	0.00175438708912295	0.00153622756597647	0.0014991085917315	0.00155059707301219	0.00148903199035708	0.00156197159888615	0.00185137518236198	0.0015431283792538	0.00191766110510127	0.00156870943316291	0.00166082810652405	0.00163405300493741	0.00171107890491586	0.00149494382831681	0.00117607065758293	0.00168299054764303	0.00157589599861417	0.0015496422433679	0.00153876796864495	0.0017115070257967	0.00146308321622398	0.00152632865548504	0.00184622658602227	0.00158940150988247	0.00135389196193753	0.00153103966108423
"Human Diseases|Cardiovascular diseases"	0.00106455287012577	0.00105170599621039	0.00111226521806687	0.0010859704227834	0.000992081597766863	0.00118663817014315	0.00122723845069716	0.00123972306900042	0.00113269237876233	0.00127523244337012	0.000976828499854924	0.00117630878993152	0.00109180781566011	0.00116680890771536	0.000949052486917372	0.00136501700010784	0.000892230067343853	0.0011232672771244	0.00124467324245493	0.000942205968290896	0.000913861688963459	0.00106333122307159	0.00132367614491347	0.00127302526860297	0.00126304249972102	0.00147739174121459	0.00119183951903209	0.00111129221732645	0.00109573716697893	0.00116472749529507	0.00126795845618502	0.000968141243616156	0.0011305529500203	0.00106636212619392
"Organismal Systems|Environmental adaptation"	0.0011281553182742	0.00116043529939894	0.00107342659085366	0.00107908613550043	0.000926748142187061	0.00105394948813481	0.00111675311538214	0.00118849898946819	0.00102934625098692	0.00110909003194739	0.00100614668609172	0.00111153852499633	0.00116019534995817	0.00108277015440159	0.000803950556508496	0.00123368060944806	0.000772956174470476	0.00114584623840528	0.0011479083582998	0.00083772017795958	0.00080844973592519	0.00115741641287923	0.00173512832200019	0.00122524115803938	0.00123953206268525	0.00135220572205573	0.00116132008199537	0.000934993347944366	0.00119804317889977	0.00117097339986381	0.00109600557960536	0.000846617913830296	0.00110474557208589	0.00103607501266559
"Genetic Information Processing|Transcription"	0.000910863542633245	0.000881208637988944	0.000789865553521114	0.00104582680081766	0.00121100099205306	0.00116513464579682	0.00105803080643853	0.00102516145417445	0.00112610628301655	0.00100315068719544	0.0010418344088293	0.00115181075643646	0.000840421694564247	0.00116895860323965	0.0012761938459724	0.00104664292703366	0.00124160851103727	0.000959645896439896	0.00110672314319062	0.00130618228485346	0.00123371715512232	0.00082513604500758	0.000749542680882074	0.00103151223629696	0.00100520834420798	0.00103982679649031	0.00107857313766284	0.0013260378820486	0.000801745819691522	0.00105168777992977	0.00109281975433856	0.00137806399418268	0.000846822982434185	0.000832704982063122
"Organismal Systems|Nervous system"	0.000988510612968497	0.00106066013061095	0.00126045825207865	0.000929244259507675	0.000745722479066384	0.00092017092516604	0.000957636491902	0.00105416122643224	0.000832479694895452	0.00103835341461577	0.000887744100153314	0.000966938923731462	0.00112986143686278	0.000896081068260117	0.000606166334633263	0.00103971272091693	0.000532926080049684	0.00101785742241146	0.000957497645055321	0.000648519064806895	0.000697545027185116	0.00108740596759675	0.0010546325966707	0.000909724620347582	0.00105692052814558	0.0012426514814392	0.000923309762523099	0.00080431294725035	0.00112731271763629	0.000962982220930902	0.00088990719119183	0.000699376176271952	0.000906062318435299	0.00119760508056793
"Human Diseases|Cancers: Specific types"	0.000997599960204686	0.000954636661829622	0.00112579802429881	0.000748258592214203	0.000683202447298366	0.000673719430525781	0.000741609947915061	0.000759027230116586	0.0007286034910565	0.000649020354675347	0.000833060244010958	0.000538664012944778	0.00103825217268778	0.000560837667481431	0.000756529520205323	0.00057721683756837	0.000846891934393747	0.000897600682270017	0.000694930478073361	0.000587110033259164	0.00078390604478469	0.00106514285439414	0.000864435343184004	0.000721416337534702	0.000678987936453145	0.000533525309059624	0.000597454606662506	0.000575837983379141	0.00104650807533667	0.000620549151157646	0.000779465248609551	0.000498204356346595	0.000969892666101006	0.00111146399294467
"Human Diseases|Neurodegenerative diseases"	0.000831067675118495	0.000971137246816621	0.00117259612474413	0.000636943853892594	0.000393740356709686	0.000379019078764106	0.000416286752845159	0.00058074579575302	0.000351367279522897	0.000347955234488149	0.000770381182653015	0.000469809572483496	0.00104120405814859	0.000396344868904578	0.000263575551060071	0.000408277107476625	0.000249415015465175	0.000778654061671452	0.00043226644984662	0.000288273262126448	0.000500188393907624	0.00104980295641945	0.000816009655885161	0.000351811250524314	0.000544195092917235	0.000383557066624193	0.000363675358804366	0.000307060224184708	0.00107556836219609	0.000432094392756036	0.000319481092780544	0.000297929373789659	0.0010091607679958	0.001134920553048
"Organismal Systems|Digestive system"	0.000473328427640506	0.000460694771017149	0.000402997039965823	0.000518132216171718	0.000484790350015984	0.000683718655845314	0.000575832449842657	0.000616274042360977	0.00062401520587259	0.000570454914649979	0.000422135283548325	0.000578856264811724	0.000454351682577177	0.000620607719530641	0.000484449811676807	0.000706220212059304	0.000453417736195426	0.000546952666065066	0.000639851054233693	0.000475207177448418	0.000401121848585186	0.000443122686601046	0.000626086711918102	0.000731727335498486	0.000664479014044987	0.000761248285691601	0.000665684141538671	0.00057875094608262	0.000455354330479815	0.000620527333715149	0.00067204575563936	0.000488319597579136	0.000415305520607203	0.000383048196531393
"Human Diseases|Infectious diseases: Viral"	0.000313685068881541	0.000278792469715699	0.000284863809554003	0.000292827700111119	0.00031280315063373	0.000326912389036711	0.000322398806433999	0.000312895289594568	0.000341949835457704	0.000352135485397436	0.000285409586396003	0.000289550969338083	0.00029270752082133	0.000288826060780986	0.000339801190192323	0.000288302151743635	0.000357724341277557	0.000294575476811906	0.000328634043989905	0.000301863888457937	0.000318926557028102	0.00029306715714984	0.000276058962832523	0.000307621259250954	0.000313640600556947	0.00030880531343149	0.000300309485382377	0.000305569842211611	0.000284119354607337	0.000300692771227525	0.000339576298309569	0.000280030444864474	0.000278268218409032	0.000283082559485948
