"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.00075	0.00025	0.00025	0.003	0.001375	0.0015	0.0025	0.00125	0.00125	0.00125	5e-04	0.000875	0.00025	0.001	0.00025	0.00025	0	0.00025	0.00225	0.00025	5e-04	0.00075	0.00125	0.00175	5e-04	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salyersiae"	0	0	0	0.00075	0.000125	0	0.003	0.00175	0	0.0045	0	0.004625	0.00525	0	0	0	0	0	0	0	0	0	0	0.0025	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0	0	0	0.00175	0	0	0.00175	0.005	0	0	0	0.004125	0.00275	0	0	0.00025	0	0	0	0	0.00025	0	0	0.00425	0.00125	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasiroggenkampii"	0	0	0	0.00475	0	0	0	0	0	0.00025	0	0.00525	0.008	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0	0	0.004	0	0	0	0.00025	0.00025	0.00025	0	0.00625	0	0	0	0.00025	0	0	0	0	0	0	0	0.006	0.00125	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0	0	0	0	0	0.003	0	0	0.002	0	0.002	0	0	0.003	0	5e-04	5e-04	0	0	0.00075	0	0.00375	0	0	0.00175	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus niger"	0.00175	5e-04	0.00025	5e-04	0.000625	5e-04	0.001	0.00025	0	0.00075	0.00525	0.001125	0.00125	0	0	0.00075	0.00025	0	0	0	0.00025	0	0	0.00075	5e-04	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	5e-04	0.00025	0.00175	0.00125	0.00125	0.00125	0.00075	0.001	0.00075	5e-04	0	0.001125	0.00025	0.001	0	0	0.00025	0.00025	0	0	0.001	0	0.00025	0.00075	5e-04	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella oris"	0	0	0	0	0.00025	0.00175	0.00025	0	0.00125	0	0.00225	0.000125	0	0.002	0	5e-04	0.001	0	0	0.00225	0	0.00225	0	0	0.00075	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	5e-04	0.00075	5e-04	0.00075	0.000625	5e-04	0.0015	0.00025	0.00075	5e-04	0.00075	0.001125	5e-04	0.00075	0	5e-04	5e-04	0.00075	5e-04	0	5e-04	0	5e-04	0.001	5e-04	0
