tax	BUD-17-MGE-S232	BUD-18-MGE-S250	CM-NTC-012	GIN-24-MGE-S240	GIN-42-MGE-S241	HAM-20-MGE-S235	HAM-46-MGE-S243	HEN-22-MGE-S238	IRI-18-MGE-S233	IRI-20-MGE-S253	IRI-55-MGE-S247	IVY-18-MGE-S234	IVY-19-MGE-S252	IVY-55-MGE-S248	JAR-18-MGE-S249	JAR-52-MGE-S246	JOA-11-MGE-S231	KUB-22-MGE-S237	KUB-45-MGE-S242	KUB-49-MGE-S245	OPH-20-MGE-S236	WOL-19-MGE-S251	WOL-24-MGE-S239	WOL-48-MGE-S244	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	8	1	1	8	14	21	14	14	59	25	30	64	122	71	2	3	10	10	0	46	6	27	10	15	581
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	0	4	16	22	5	2	0	1	166	82	168	4	1	0	21	0	25	6	1	4	20	548
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	43	0	0	1	3	6	5	4	139	46	7	31	18	0	2	0	0	1	0	8	12	151	2	7	486
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	8	3	0	0	0	0	0	0	1	0	0	293	145	0	11	0	0	0	0	0	0	0	0	0	461
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	2	0	0	0	0	11	16	0	79	18	15	24	39	48	9	0	0	9	0	10	26	20	57	41	424
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	43	23	0	12	73	1	26	15	6	19	19	16	22	21	13	12	13	3	0	21	6	8	4	16	392
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	4	1	0	0	9	81	4	4	0	0	0	0	0	0	12	0	0	47	0	0	139	0	1	78	380
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	22	52	0	10	9	8	13	8	8	27	18	18	41	7	4	9	23	9	0	23	12	9	31	15	376
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	0	0	0	0	0	0	0	0	58	57	45	0	0	0	0	0	10	0	0	0	0	91	2	34	297
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	31	47	0	0	116	0	0	37	0	0	0	0	0	0	1	2	55	0	0	0	2	0	0	0	291
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	10	0	0	0	0	162	91	0	0	0	0	2	0	9	13	0	0	0	287
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	1	0	1	2	21	2	32	17	33	3	1	23	17	9	3	3	2	5	0	16	4	24	15	47	281
