Extract_ID	Sample_ID	Extract_Type	Extract_Date	Extracted_By	Extract_Conc_ng_uL	Extract_Kit	Extract_Box	Extract_Notes
DNA2-OPH-29-MGE	OPH-29-MGE	DNA	2023-07-10	SA	8.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	low
DNA2-IRI-43-DRS	IRI-43-DRS	DNA	2023-07-10	SA	23	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-IRI-43-MGE	IRI-43-MGE	DNA	2023-07-10	SA	6.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-HEN-57-DRS	HEN-57-DRS	DNA	2023-07-10	SA	0.653	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-HEN-57-MGE	HEN-57-MGE	DNA	2023-07-10	SA	3.31	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-WOL-59-DRS	WOL-59-DRS	DNA	2023-07-10	SA	1.22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-WOL-59-MGE	WOL-59-MGE	DNA	2023-07-10	SA	6.3	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-FRA-66-DRS	FRA-66-DRS	DNA	2023-07-10	SA	6.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-FRA-66-MGE	FRA-66-MGE	DNA	2023-07-10	SA	14	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-JOA-70-DRS	JOA-70-DRS	DNA	2023-07-10	SA	4.59	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-JOA-70-MGE	JOA-70-MGE	DNA	2023-07-10	SA	5.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-LAM-1-DRS	LAM-1-DRS	DNA	2023-07-11	SA	0.637	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-LAM-1-MGE	LAM-1-MGE	DNA	2023-07-11	SA	6.3	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	low
DNA1-IRI-15-MGE	IRI-15-MGE	DNA	2023-07-11	SA	4.35	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-BUD-29-DRS	BUD-29-DRS	DNA	2023-07-11	SA	7.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-BUD-29-MGE	BUD-29-MGE	DNA	2023-07-11	SA	4.21	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-GOO-43-DRS	GOO-43-DRS	DNA	2023-07-11	SA	1.85	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-GOO-43-MGE	GOO-43-MGE	DNA	2023-07-11	SA	7.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-JOA-57-DRS	JOA-57-DRS	DNA	2023-07-11	SA	6.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-JOA-57-MGE	JOA-57-MGE	DNA	2023-07-11	SA	2.51	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-IRI-59-DRS	IRI-59-DRS	DNA	2023-07-11	SA	5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-IRI-59-MGE	IRI-59-MGE	DNA	2023-07-11	SA	2.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-MAR-66-DRS	MAR-66-DRS	DNA	2023-07-11	SA	3.97	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-MAR-66-MGE	MAR-66-MGE	DNA	2023-07-11	SA	6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA1-GIN-70-DRS	GIN-70-DRS	DNA	2023-07-11	SA	14	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	low
DNA1-GIN-70-MGE	GIN-70-MGE	DNA	2023-07-11	SA	5.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-LAM-1-DRS	LAM-1-DRS	DNA	2023-07-12	SA	18	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-LAM-1-MGE	LAM-1-MGE	DNA	2023-07-12	SA	12	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-IRI-15-MGE	IRI-15-MGE	DNA	2023-07-12	SA	12	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-BUD-29-DRS	BUD-29-DRS	DNA	2023-07-12	SA	41	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-BUD-29-MGE	BUD-29-MGE	DNA	2023-07-12	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-GOO-43-DRS	GOO-43-DRS	DNA	2023-07-12	SA	34	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-GOO-43-MGE	GOO-43-MGE	DNA	2023-07-12	SA	27	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-JOA-57-DRS	JOA-57-DRS	DNA	2023-07-12	SA	30	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-JOA-57-MGE	JOA-57-MGE	DNA	2023-07-12	SA	28	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3	
DNA2-IRI-59-DRS	IRI-59-DRS	DNA	2023-07-12	SA	38	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA2-IRI-59-MGE	IRI-59-MGE	DNA	2023-07-12	SA	25	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA2-MAR-66-DRS	MAR-66-DRS	DNA	2023-07-12	SA	54	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA2-MAR-66-MGE	MAR-66-MGE	DNA	2023-07-12	SA	10	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	low
DNA2-GIN-70-DRS	GIN-70-DRS	DNA	2023-07-12	SA	66	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA2-GIN-70-MGE	GIN-70-MGE	DNA	2023-07-12	SA	17	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-IVY-1-DRS	IVY-1-DRS	DNA	2023-07-13	SA	36	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-IVY-1-MGE	IVY-1-MGE	DNA	2023-07-13	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-LAM-15-MGE	LAM-15-MGE	DNA	2023-07-13	SA	1.47	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-MAR-29-DRS	MAR-29-DRS	DNA	2023-07-13	SA	40	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-MAR-29-MGE	MAR-29-MGE	DNA	2023-07-13	SA	38	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-FRA-43-DRS	FRA-43-DRS	DNA	2023-07-13	SA	63	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-FRA-43-MGE	FRA-43-MGE	DNA	2023-07-13	SA	49	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GRO-57-DRS	GRO-57-DRS	DNA	2023-07-13	SA	40	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GRO-57-MGE	GRO-57-MGE	DNA	2023-07-13	SA	21	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-CHA-59-DRS	CHA-59-DRS	DNA	2023-07-13	SA	36	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-CHA-59-MGE	CHA-59-MGE	DNA	2023-07-13	SA	48	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JAR-66-DRS	JAR-66-DRS	DNA	2023-07-13	SA	32	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JAR-66-MGE	JAR-66-MGE	DNA	2023-07-13	SA	20	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HEN-70-DRS	HEN-70-DRS	DNA	2023-07-13	SA	46	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HEN-70-MGE	HEN-70-MGE	DNA	2023-07-13	SA	29	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-PAD-1-DRS	PAD-1-DRS	DNA	2023-07-18	SA	35	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-PAD-1-MGE	PAD-1-MGE	DNA	2023-07-18	SA	91	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-16-DRS	HER-16-DRS	DNA	2023-07-18	SA	28	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-16-MGE	HER-16-MGE	DNA	2023-07-18	SA	27	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HAM-36-MGE	HAM-36-MGE	DNA	2023-07-18	SA	24	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JAR-41-DRS	JAR-41-DRS	DNA	2023-07-18	SA	60	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JAR-41-MGE	JAR-41-MGE	DNA	2023-07-18	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-CHA-43-DRS	CHA-43-DRS	DNA	2023-07-18	SA	32	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-CHA-43-MGE	CHA-43-MGE	DNA	2023-07-18	SA	20	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KOR-57-DRS	KOR-57-DRS	DNA	2023-07-18	SA	57	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KOR-57-MGE	KOR-57-MGE	DNA	2023-07-18	SA	35	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-OPH-66-DRS	OPH-66-DRS	DNA	2023-07-18	SA	68	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-OPH-66-MGE	OPH-66-MGE	DNA	2023-07-18	SA	38	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GIN-69-DRS	GIN-69-DRS	DNA	2023-07-18	SA	42	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GIN-69-MGE	GIN-69-MGE	DNA	2023-07-18	SA	39	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GIN-2-DRS	GIN-2-DRS	DNA	2023-07-18	SA	6.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GIN-2-MGE	GIN-2-MGE	DNA	2023-07-18	SA	1.88	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HAM-15-DRS	HAM-15-DRS	DNA	2023-07-18	SA	12	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HAM-15-MGE	HAM-15-MGE	DNA	2023-07-18	SA	3.74	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-36-MGE	HER-36-MGE	DNA	2023-07-18	SA	6.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	low
DNA1-OPH-41-DRS	OPH-41-DRS	DNA	2023-07-18	SA	7.5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-OPH-41-MGE	OPH-41-MGE	DNA	2023-07-18	SA	3.87	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-MAR-43-DRS	MAR-43-DRS	DNA	2023-07-18	SA	66	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-MAR-43-MGE	MAR-43-MGE	DNA	2023-07-18	SA	0.488	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-WOL-57-DRS	WOL-57-DRS	DNA	2023-07-18	SA	44	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-WOL-57-MGE	WOL-57-MGE	DNA	2023-07-18	SA	1.04	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KUB-66-DRS	KUB-66-DRS	DNA	2023-07-18	SA	11	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KUB-66-MGE	KUB-66-MGE	DNA	2023-07-18	SA	2.21	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HEN-69-DRS	HEN-69-DRS	DNA	2023-07-18	SA	30	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HEN-69-MGE	HEN-69-MGE	DNA	2023-07-18	SA	2.5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HEN-2-DRS	HEN-2-DRS	DNA	2023-07-21	SA	24	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HEN-2-MGE	HEN-2-MGE	DNA	2023-07-21	SA	7.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-PAD-15-DRS	PAD-15-DRS	DNA	2023-07-21	SA	77	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-PAD-15-MGE	PAD-15-MGE	DNA	2023-07-21	SA	78	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JAR-36-MGE	JAR-36-MGE	DNA	2023-07-21	SA	7.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KUB-41-DRS	KUB-41-DRS	DNA	2023-07-21	SA	32	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KUB-41-MGE	KUB-41-MGE	DNA	2023-07-21	SA	6.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HAM-43-DRS	HAM-43-DRS	DNA	2023-07-21	SA	40	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HAM-43-MGE	HAM-43-MGE	DNA	2023-07-21	SA	4.16	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GOO-57-DRS	GOO-57-DRS	DNA	2023-07-21	SA	16	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-GOO-57-MGE	GOO-57-MGE	DNA	2023-07-21	SA	4.26	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KOR-66-DRS	KOR-66-DRS	DNA	2023-07-21	SA	61	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KOR-66-MGE	KOR-66-MGE	DNA	2023-07-21	SA	27	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-70-DRS	HER-70-DRS	DNA	2023-07-21	SA	59	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-70-MGE	HER-70-MGE	DNA	2023-07-21	SA	19	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JOA-2-DRS	JOA-2-DRS	DNA	2023-07-21	SA	38	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-JOA-2-MGE	JOA-2-MGE	DNA	2023-07-21	SA	9.5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	low
DNA1-HAM-16-DRS	HAM-16-DRS	DNA	2023-07-21	SA	41	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HAM-16-MGE	HAM-16-MGE	DNA	2023-07-21	SA	9.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-OPH-36-MGE	OPH-36-MGE	DNA	2023-07-21	SA	4.53	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KOR-41-DRS	KOR-41-DRS	DNA	2023-07-21	SA	24	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-KOR-41-MGE	KOR-41-MGE	DNA	2023-07-21	SA	66	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-43-DRS	HER-43-DRS	DNA	2023-07-21	SA	70	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4	
DNA1-HER-43-MGE	HER-43-MGE	DNA	2023-07-21	SA	16	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-57-DRS	LAM-57-DRS	DNA	2023-07-21	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-57-MGE	LAM-57-MGE	DNA	2023-07-21	SA	23	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-WOL-66-DRS	WOL-66-DRS	DNA	2023-07-21	SA	51	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-WOL-66-MGE	WOL-66-MGE	DNA	2023-07-21	SA	5.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JAR-70-DRS	JAR-70-DRS	DNA	2023-07-21	SA	34	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JAR-70-MGE	JAR-70-MGE	DNA	2023-07-21	SA	9.5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IVY-3-DRS	IVY-3-DRS	DNA	2023-07-25	SA	2.53	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IVY-3-MGE	IVY-3-MGE	DNA	2023-07-25	SA	1.8	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JAR-16-DRS	JAR-16-DRS	DNA	2023-07-25	SA	5.8	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JAR-16-MGE	JAR-16-MGE	DNA	2023-07-25	SA	5.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KUB-36-MGE	KUB-36-MGE	DNA	2023-07-25	SA	0.736	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-WOL-41-DRS	WOL-41-DRS	DNA	2023-07-25	SA	7.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-WOL-41-MGE	WOL-41-MGE	DNA	2023-07-25	SA	7.8	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-BUD-43-DRS	BUD-43-DRS	DNA	2023-07-25	SA	4.96	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-BUD-43-MGE	BUD-43-MGE	DNA	2023-07-25	SA	8.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-FRA-57-DRS	FRA-57-DRS	DNA	2023-07-25	SA	0.506	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-FRA-57-MGE	FRA-57-MGE	DNA	2023-07-25	SA	0.537	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-66-DRS	IRI-66-DRS	DNA	2023-07-25	SA	13	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-66-MGE	IRI-66-MGE	DNA	2023-07-25	SA	3.72	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-OPH-70-DRS	OPH-70-DRS	DNA	2023-07-25	SA	13	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-OPH-70-MGE	OPH-70-MGE	DNA	2023-07-25	SA	9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-3-DRS	LAM-3-DRS	DNA	2023-07-25	SA	35	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-3-MGE	LAM-3-MGE	DNA	2023-07-25	SA	9.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-OPH-16-DRS	OPH-16-DRS	DNA	2023-07-25	SA	34	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-OPH-16-MGE	OPH-16-MGE	DNA	2023-07-25	SA	8.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KOR-36-MGE	KOR-36-MGE	DNA	2023-07-25	SA	5.3	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-41-DRS	IRI-41-DRS	DNA	2023-07-25	SA	32	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-41-MGE	IRI-41-MGE	DNA	2023-07-25	SA	15	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HEN-43-DRS	HEN-43-DRS	DNA	2023-07-25	SA	0.665	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HEN-43-MGE	HEN-43-MGE	DNA	2023-07-25	SA	6.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IVY-57-DRS	IVY-57-DRS	DNA	2023-07-25	SA	11	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IVY-57-MGE	IVY-57-MGE	DNA	2023-07-25	SA	1.35	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-CHA-66-DRS	CHA-66-DRS	DNA	2023-07-25	SA	21	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-CHA-66-MGE	CHA-66-MGE	DNA	2023-07-25	SA	18	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KUB-70-DRS	KUB-70-DRS	DNA	2023-07-25	SA	18	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KUB-70-MGE	KUB-70-MGE	DNA	2023-07-25	SA	8.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GOO-2-DRS	GOO-2-DRS	DNA	2023-07-28	SA	9.3	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GOO-2-MGE	GOO-2-MGE	DNA	2023-07-28	SA	6.1	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KUB-16-DRS	KUB-16-DRS	DNA	2023-07-28	SA	40	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KUB-16-MGE	KUB-16-MGE	DNA	2023-07-28	SA	11	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-WOL-36-MGE	WOL-36-MGE	DNA	2023-07-28	SA	0.124	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-41-DRS	LAM-41-DRS	DNA	2023-07-28	SA	30	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-41-MGE	LAM-41-MGE	DNA	2023-07-28	SA	2.59	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GIN-43-DRS	GIN-43-DRS	DNA	2023-07-28	SA	11	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GIN-43-MGE	GIN-43-MGE	DNA	2023-07-28	SA	9.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-CHA-57-DRS	CHA-57-DRS	DNA	2023-07-28	SA	47	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-CHA-57-MGE	CHA-57-MGE	DNA	2023-07-28	SA	5.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IVY-66-DRS	IVY-66-DRS	DNA	2023-07-28	SA	31	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IVY-66-MGE	IVY-66-MGE	DNA	2023-07-28	SA	0.619	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KOR-70-DRS	KOR-70-DRS	DNA	2023-07-28	SA	36	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KOR-70-MGE	KOR-70-MGE	DNA	2023-07-28	SA	9.8	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HAM-4-DRS	HAM-4-DRS	DNA	2023-08-03	SA	88	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HAM-4-MGE	HAM-4-MGE	DNA	2023-08-03	SA	13	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KOR-16-DRS	KOR-16-DRS	DNA	2023-08-03	SA	2.86	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-KOR-16-MGE	KOR-16-MGE	DNA	2023-08-03	SA	2.61	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-36-MGE	IRI-36-MGE	DNA	2023-08-03	SA	3.81	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GOO-41-DRS	GOO-41-DRS	DNA	2023-08-03	SA	78	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GOO-41-MGE	GOO-41-MGE	DNA	2023-08-03	SA	65	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HER-44-DRS	HER-44-DRS	DNA	2023-08-03	SA	52	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HER-44-MGE	HER-44-MGE	DNA	2023-08-03	SA	9.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-MAR-57-DRS	MAR-57-DRS	DNA	2023-08-03	SA	75	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-MAR-57-MGE	MAR-57-MGE	DNA	2023-08-03	SA	12	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JOA-66-DRS	JOA-66-DRS	DNA	2023-08-03	SA	52	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JOA-66-MGE	JOA-66-MGE	DNA	2023-08-03	SA	10	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-70-DRS	LAM-70-DRS	DNA	2023-08-03	SA	5.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-LAM-70-MGE	LAM-70-MGE	DNA	2023-08-03	SA	19	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HER-2-DRS	HER-2-DRS	DNA	2023-08-04	SA	28	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HER-2-MGE	HER-2-MGE	DNA	2023-08-04	SA	6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-16-DRS	IRI-16-DRS	DNA	2023-08-04	SA	84	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-IRI-16-MGE	IRI-16-MGE	DNA	2023-08-04	SA	6.4	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GOO-36-MGE	GOO-36-MGE	DNA	2023-08-04	SA	3.38	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-FRA-41-DRS	FRA-41-DRS	DNA	2023-08-04	SA	28	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-FRA-41-MGE	FRA-41-MGE	DNA	2023-08-04	SA	7.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HAM-44-DRS	HAM-44-DRS	DNA	2023-08-04	SA	17	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-HAM-44-MGE	HAM-44-MGE	DNA	2023-08-04	SA	2.42	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JAR-58-DRS	JAR-58-DRS	DNA	2023-08-04	SA	8.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-JAR-58-MGE	JAR-58-MGE	DNA	2023-08-04	SA	5.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GIN-66-DRS	GIN-66-DRS	DNA	2023-08-04	SA	29	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5	
DNA1-GIN-66-MGE	GIN-66-MGE	DNA	2023-08-04	SA	8.5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6	
DNA1-WOL-70-DRS	WOL-70-DRS	DNA	2023-08-04	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6	
DNA1-WOL-70-MGE	WOL-70-MGE	DNA	2023-08-04	SA	9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6	
