"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"njc100"	0	0.08	0	0	0	0.08	0	0.03	0	0.15	0.03	0	0	0	0	0	0.28	0	0.07	0	0.07	0	0.03	0	0.18	0	0.18	0	0.03	0
"njc101"	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc102"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc103"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc104"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc105"	0	0	0	0	0	0	0	0.25	0	0.03	0	0.09	0	0	0	0	4	0	0.07	0.03	0	0	0	0.07	0.03	1.08	0.38	0	0	0
"njc106"	0	0	0	0	0	0	0	0.25	0	0.03	0	0.09	0	0	0	0	4	0	0.07	0.03	0	0	0	0.07	0.03	1.08	0.38	0	0	0
"njc107"	34.61	29.76	24.87	27.1	1.2	20.79	22.71	22.35	0.75	14.81	1.5	11.72	5.26	14.34	4.18	32.83	14.41	25.45	26.38	17.56	46.75	15.68	23.3	15.4	11.31	21.33	40.63	9.61	44.31	19.48
"njc108"	0	0.03	0	0.03	0	0.1	0.05	0.05	0.03	0	0	0.14	0	0.03	0	0.05	0	0.03	0.03	0.03	0	0.03	0	0.05	0.08	0.13	0.1	0	0.03	0.05
"njc109"	0	0.08	0	0	0	0.08	0	0.28	0	0.18	0.03	0.09	0	0	0	0	4.28	0	0.15	0.03	0.07	0	0.03	0.07	0.2	1.08	0.55	0	0.03	0
"njc110"	34.61	29.78	24.87	27.1	1.2	20.79	22.71	22.35	0.75	14.88	1.5	11.72	5.26	14.39	4.18	32.83	14.39	25.45	26.38	17.88	46.73	15.71	23.3	15.4	11.16	21.33	40.53	9.43	44.31	19.5
"njc111"	2.58	3.85	0.4	5.75	0.25	2.35	0.35	1.9	0.35	1.38	0.2	0.05	4.61	3.9	0.72	6.06	12.06	9.07	0.95	0.4	1.07	1.03	2.72	5	5.62	14.68	1.58	6.76	0.45	2.73
"njc112"	8.7	4.93	4.65	7.32	0.35	7.01	9.15	5.5	0.28	3.83	0.52	4.44	2.91	3.58	1.32	12.89	1.4	6.53	1.23	5.86	1.4	5.6	4.65	2.2	3.96	4.38	6.98	1.4	17.96	9.44
"njc113"	0	0.05	0.03	0.03	0	0	0.03	0.25	0	0.08	0	0	0	0.08	0	0	4.08	0.05	0.07	0.45	0	0.05	0.03	0.17	0.03	1.53	0.05	0	0	0.15
"njc114"	0	0.03	0	0.03	0	0	0	0.25	0	0.08	0	0	0	0.05	0	0	4	0	0.07	0.45	0	0.03	0	0.07	0.03	1.08	0.03	0	0	0.03
"njc115"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc116"	2.6	4.03	0.7	5.9	0.48	2.78	0.35	1.93	0.4	1.45	0.22	0.14	4.66	4.1	0.75	6.31	9.31	10.05	1.23	0.6	1.38	1.03	3.08	5.75	5.87	20.28	2.3	7.96	0.48	2.75
"njc117"	0	0.08	0.08	0.07	0	0.13	0.05	0.4	0.05	0.03	0.03	0.1	0.03	0.13	0.07	0.05	4.38	0.48	0.1	0	0.03	0.05	0.17	0.28	0.15	1.88	0.13	0.13	0.03	0.2
"njc118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.07	0	0.05	0	0	0.2	0	0.65	0.03	0	0	0
"njc119"	0	0.03	0.03	0	0	0	0.03	0.25	0	0	0	0	0	0.03	0	0	4.08	0.05	0.07	0	0	0.03	0.03	0.17	0.03	1.53	0.05	0	0	0.13
"njc120"	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	4	0	0.07	0	0	0	0	0.07	0.03	1.08	0.03	0	0	0
"njc121"	0.03	0.25	0.35	0.12	0.22	0.53	0.03	0.32	0.07	0.15	0.03	0	0.1	0.33	0.03	0.4	10.68	3.42	0.42	0.5	0.32	0.05	2.45	1.15	1.43	8.15	0.35	5.48	0.15	0.18
"njc122"	0	0.15	0.03	0.12	0	0.15	0.05	0.3	0	0.28	0.03	0.18	0	0.1	0	0.6	4.38	0.1	0.17	0.68	0.1	0.08	0.12	0.22	0.43	1.63	0.83	0	0.05	0.18
