"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc152"	0.02	0.04	0	0.04	0.07	0	0	0	0	0.04	0.02	0.02	0	0	0.02	0.02	0	0.02	0	0	0.02	0	0.38	0	0	0.07	0	0	0.02	0.02	0	0.04	0.02	0.02
"njc153"	0.04	0.04	0.02	0	0	0	0	0.02	0	0	0.04	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0.02	0.02
"njc154"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc155"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc156"	13.95	14.49	17.72	26.06	19.92	1.71	21.23	21.34	17.89	22.88	28.87	31.06	24.13	12.83	37.76	36.47	33.26	19.44	17.43	18.59	41.85	11.1	27.21	1.51	13.89	21.44	23.69	34.16	15.67	18.31	1.91	39.06	20.69	15.31
"njc157"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
"njc158"	0.09	0.07	0.02	0	0.04	0	0	0.4	0	0.11	0.02	0	0.09	0	0	0.69	0	0	0.02	0	0.04	0.02	0.4	0	0	0.27	0.04	0	0.09	0.09	0	0	0.02	0.02
"njc159"	0.04	0.02	0.02	0	0.04	0	0	0.49	0	0.13	0	0	0	0	0	0.87	0	0	0	0.02	0	0	0.76	0	0.07	0.29	0.07	0	0.09	0.09	0	0	0.04	0
"njc160"	0	0	0.11	0.38	0.02	0.02	0.04	0.16	0	0.11	0.02	0.22	0.11	0.13	0	0	0	0.02	0	0	0.02	0.02	0.73	0	0.02	0.11	0.29	0	0.04	0.22	0	0	0.11	0.02
"njc161"	1.13	2.67	2.49	3.22	1.13	0.2	0.8	2.78	1.36	1.42	1.91	4.09	3.58	2.24	3.78	7.95	2.16	5.94	1.2	0.73	1.8	1.78	2.43	0.56	1.69	2.27	2.04	2.96	3.69	1.71	0.24	3.85	1.49	0.67
"njc162"	0.02	0.33	0.04	0	0.2	0.04	0	0.07	0	0.2	0.13	0.04	0	0	0	0.13	0.02	0.04	0	0.04	0.04	0.02	0	0	0.02	0.11	0.04	0.04	0.04	0.09	0	0.27	0.18	0.07
"njc163"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc164"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc165"	0.09	0.36	0.38	0.04	0.24	0.11	0.2	0.8	0.16	1.07	0.13	0.62	0.07	0.22	0	1.67	0.04	0.04	0.13	0.07	0.04	0.07	3.74	0.04	0.58	0.64	0.27	0.04	0.42	0.27	0.04	0.27	0.45	0.07
