tax	BUD-16-DRS-L161	CHA-57-DRS-L131	EXP-PBC096_barcode52	GIN-43-DRS-L130	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	0	0	0	0	0	0	0	2	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	0	152	0	0	0	43	0	0	0	0	0	0	0	24	0	0	0	0	9	0	0	0	0	0	281
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	9	0	0	0	0	0	0	0	0	12	0	0	0	0	69	0	0	12	0	0	0	0	0	0	0	0	134	0	0	0	13	0	0	0	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	280
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium samirii	38	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	8	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	253
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	11	0	0	0	0	0	0	0	0	3	0	0	0	0	25	0	0	4	0	0	0	0	0	0	0	0	169	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	25	0	0	0	0	0	248
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	69	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	230
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	94	0	0	0	0	0	0	0	0	24	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0	0	36	0	0	0	24	0	0	0	0	0	0	0	6	0	0	0	0	10	0	0	0	0	0	213
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	47	0	0	0	0	0	0	0	0	38	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	2	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	197
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	183
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium cebidarum	6	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	142	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	174
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	138	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	13	0	0	0	0	0	171
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	92	0	0	0	69	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	170
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	9	0	0	0	0	0	0	0	0	5	0	0	0	0	36	0	0	28	0	0	0	0	0	0	0	0	60	0	0	0	7	0	0	0	0	0	0	0	10	0	0	0	0	13	0	0	0	0	0	168
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	4	0	0	0	0	0	0	0	0	5	0	0	0	0	13	0	0	8	0	0	0	0	0	1	0	0	62	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	165
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	5	0	0	0	0	0	0	0	0	5	0	0	0	0	54	0	0	34	0	0	0	0	0	0	0	0	34	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	149
