tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	1	0	0	0	0	0	0	0	3	16	14	0	0	0	0	0	6	7	0	23	58	1	129
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	6	3	0	7	5	1	3	1	2	13	8	17	7	11	12	3	10	5	6	1	4	0	0	125
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	1	1	0	0	6	17	1	2	0	0	3	6	0	2	20	9	12	2	21	11	0	1	1	0	116
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	0	0	0	0	0	1	4	24	18	22	4	1	0	0	19	6	14	0	0	0	0	113
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	3	17	0	0	2	0	0	0	1	7	5	22	0	50	0	0	0	4	1	0	0	0	0	112
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	0	3	0	0	2	2	0	2	0	1	16	11	21	4	6	6	0	7	2	2	0	14	6	3	108
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	5	37	0	0	0	5	2	6	15	10	0	0	0	0	0	1	1	0	0	2	6	4	2	9	105
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	1	3	0	0	4	10	1	1	1	0	3	2	3	3	4	19	5	3	7	7	1	14	4	7	103
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	1	0	0	0	0	0	39	30	0	3	0	1	0	11	17	0	0	0	0	0	102
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	88	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	93
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	8	3	0	0	10	8	4	0	0	0	0	0	0	0	28	6	10	0	0	0	4	3	0	8	92
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	1	3	0	0	7	2	2	1	0	1	7	2	10	2	8	16	5	5	1	3	1	13	1	1	92
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	3	3	0	0	0	0	0	0	0	29	17	33	2	3	0	0	1	1	0	0	0	0	0	92
