"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"njc24"	0	0	0	0	0.03	0	0	0.1	0	0	0	0	0.07	0	0.05	0	0	0.03	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc25"	37.27	42.3	22.59	26.56	44.58	19.63	27.53	38.6	59.65	46.17	31.73	20.84	11.75	37.85	4.8	3.38	28	1.45	24.1	1.89	4.82	16.87	5.96	12.33	34.86	18.89	8.53	27.55	9.1	14.53	16.49	14.03	23.02	32.19
"njc26"	0.03	0.05	0.03	0.03	0.08	0.05	0.05	0.03	0.1	0.05	0.05	0.08	0	0.2	0	0.08	0.08	0	0.12	0	0.03	0.29	0.08	0.03	0.13	0.23	0.05	0.05	0.08	0.03	0	0.15	0.07	0.1
"njc27"	0	0.32	0.1	0.03	0.03	0.25	0	0.58	0.05	0.03	1	0.1	0.17	0.45	0.05	0	0.18	0	0	0.19	0.65	0.13	1.3	0.13	0	0.09	1.15	1.4	0.15	0.3	0.18	0.07	0	0.28
"njc28"	0	0	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	5.35	0.12	0	0.03	0	0	0	0.05	0.93	0	0	0.04	0	0	0
"njc29"	0	0.32	0.1	0.03	0.03	0.25	0	0.58	0.05	0.03	1	0.1	0.17	0.45	0.05	0	0.18	0	0	0.19	0.65	0.13	1.3	0.13	0	0.09	1.15	1.4	0.15	0.3	0.18	0.07	0	0.28
"njc30"	0	0	0.05	0	0.03	0.1	0	0.1	0.05	0.03	0	0.03	0.05	0	0	0.03	0	0	0.03	5.35	0.12	0.09	0.05	0.01	0	0.06	0.05	0.95	0	0	0.04	0.03	0.03	0
"njc31"	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0	0	0	0	0	0	0.51	0.05	0.03	0.08	0	0.03	0	0	0.05	0	0	0.01	0	0	0
"njc32"	0	0.05	0.05	0	0	0.03	0.03	0.4	0	0	1.98	0.03	0	0.85	0	0.03	0.35	0	0.03	0	0.5	0.01	0.63	0	0	0.16	1.18	0.25	0	0.07	0.01	0.15	0	0.03
"njc33"	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	1.4	0.05	0	0.03	0	0	0	0.2	0.05	0	0	0	0	0	0
