tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	106
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	1	24	0	5	2	2	0	0	0	2	3	8	0	5	0	0	0	0	0	0	0	35	12	1	100
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	3	1	0	9	4	2	5	7	2	4	3	4	4	18	5	1	0	7	0	6	0	8	4	2	99
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	5	3	0	12	12	18	0	1	1	5	3	5	1	0	0	0	1	0	0	0	0	32	0	0	99
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	3	0	0	0	0	90
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	6	1	0	3	5	12	6	7	0	3	1	3	5	10	0	0	5	0	0	0	0	7	11	4	89
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	12	27	0	7	0	0	1	5	0	3	0	0	3	2	3	0	0	0	0	0	0	4	10	8	85
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	0	0	0	1	0	69	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	85
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	2	15	0	4	3	19	3	2	0	6	3	3	2	2	1	1	2	2	1	1	0	6	1	0	79
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	3	2	0	3	3	5	12	1	1	4	0	6	1	2	1	4	5	1	0	2	2	11	5	2	76
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	0	7	1	0	3	7	0	15	1	1	2	0	0	0	4	0	0	0	0	20	5	10	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	1	0	0	1	19	0	6	3	0	0	0	0	0	7	24	3	7	1	0	0	0	0	0	0	72
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	3	12	0	1	0	1	1	3	2	2	1	7	3	17	4	0	0	4	0	0	0	3	5	3	72
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	5	0	0	0	0	0	0	8	8	5	10	1	15	4	0	0	0	0	0	3	5	1	3	68
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	2	6	0	3	0	0	1	0	5	4	3	1	0	2	0	0	0	0	0	1	1	16	17	6	68
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	2	0	0	5	4	7	0	0	0	1	1	2	1	13	6	0	1	1	0	0	0	20	2	0	66
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	4	0	0	3	7	0	4	3	0	0	0	0	0	13	21	3	2	5	0	0	0	0	0	0	65
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	3	3	0	0	0	0	0	0	0	2	45	4	6	0	0	0	0	0	0	0	0	0	0	0	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	4	0	0	0	3	0	8	0	1	5	23	3	0	0	0	0	0	0	15	0	0	62
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	0	0	0	9	32	3	10	0	0	0	0	0	0	0	0	5	0	0	59
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	2	10	0	0	0	0	5	2	1	5	5	5	5	0	0	0	7	1	0	0	0	10	0	0	58
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	1	1	0	5	2	3	8	4	0	3	0	0	3	12	0	0	1	3	0	2	0	0	2	6	56
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	21	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	1	1	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	1	7	0	1	1	0	0	0	0	2	2	3	1	16	2	0	0	0	0	2	3	8	0	1	50
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	0	1	1	3	0	1	0	0	0	0	0	17	24	0	0	1	1	0	0	0	1	0	50
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	16	0	0	3	1	0	0	2	0	0	2	3	2	3	0	0	0	0	3	0	2	3	8	48
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	3	1	0	1	1	0	3	3	2	4	3	3	2	6	1	0	0	3	0	0	0	4	0	8	48
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	3	1	0	4	0	0	4	4	2	2	0	2	4	7	0	0	1	3	0	0	0	2	3	2	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	14	15	6	0	0	0	0	0	0	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	2	7	0	0	0	0	0	1	1	1	1	0	1	21	5	0	0	1	0	2	0	0	0	1	44
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	2	2	0	1	1	0	5	1	1	4	1	0	0	0	3	0	1	1	0	0	0	5	4	5	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	1	0	0	0	2	0	4	1	0	0	0	0	0	6	12	2	3	2	0	0	0	0	0	0	33
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	1	0	0	0	0	2	0	1	5	2	1	2	9	0	0	0	1	0	0	0	4	1	4	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	3	0	0	2	5	0	0	0	0	0	0	0	0	3	13	0	4	3	0	0	0	0	0	0	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	3	3	0	1	1	0	0	0	0	0	0	0	0	17	1	0	3	1	0	0	0	0	0	0	30
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	0	10	0	0	1	0	0	0	2	1	0	0	1	0	2	0	0	1	0	1	0	7	3	1	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	0	0	2	4	0	1	9	0	1	2	2	2	0	0	0	2	0	0	0	0	3	0	1	30
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	2	4	0	3	0	3	4	0	0	4	0	0	0	0	0	0	3	0	3	0	0	2	0	2	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	1	2	0	3	1	1	6	1	0	1	1	2	1	2	2	1	1	2	0	0	0	0	1	0	29
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	0	4	0	0	0	0	0	3	0	0	1	3	6	0	0	2	0	1	2	2	0	2	1	2	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	0	0	0	0	0	0	0	1	4	28
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	11	0	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	28
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	0	12	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	3	2	1	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	6	7	4	0	0	0	0	0	0	24
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	7	0	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	2	0	6	0	1	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	0	2	0	0	1	3	1	3	0	1	0	0	0	5	0	1	1	2	0	1	0	0	1	0	22
