"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"g__Hoylesella"	0	0	0	0	0	0	7	0	9	0	0	6	0	0	0	0	0	6	0	0	0	0	0	18	0	4	0	0	0	8	0	1	0	0	0	0	4	5	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	6	0	2	0	0	0	10	0	0	2	43	0	0	0	0	0	0	0	0	47	0	0	0	0	0	9	0	7	15	0	0	0	16	0	0	0	0	2	0	3	0	0	0	9	0	0	0	1	3	1	3	0	7	1	0	71	11	0	0	0	0	89	0
"g__Hominisplanchenecus"	1	2	1	10	0	1	2	2	14	2	1	0	8	0	2	1	1	1	3	9	0	0	2	1	1	2	0	1	2	0	4	1	1	1	7	1	1	1	3	2	0	5	1	5	9	1	3	2	1	4	9	7	14	7	4	5	3	2	1	0	13	2	6	0	6	4	9	0	0	0	6	5	2	12	0	5	2	4	2	1	10	3	10	2	2	13	6	13	2	4	2	0	1	2	0	1	1	3	7	5	0	8	2	0	2	1	2	1	3	7	23	12	2	2	3	8	3	20	3
"g__Marvinbryantia"	2	1	2	2	2	1	2	0	5	5	2	4	1	0	3	0	4	5	5	2	0	2	0	4	4	1	0	0	6	7	3	4	0	8	3	0	5	1	2	0	0	3	2	3	3	1	1	3	0	6	1	2	9	4	7	5	7	0	3	0	15	3	4	0	3	4	2	0	2	0	4	0	7	4	1	5	0	8	7	2	2	3	1	1	6	11	1	8	2	6	2	0	2	3	0	8	5	2	6	3	0	1	4	1	0	1	1	4	4	2	12	5	4	1	0	4	6	16	5
"g__Pseudomonas"	33	48	0	0	1	0	0	0	0	0	0	0	0	0	0	11	7	1	10	23	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	182	0	0	0
"g__Asteroleplasma"	0	4	0	0	3	0	11	2	5	19	3	0	0	0	0	0	0	1	0	3	0	0	0	2	0	38	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	5	0	7	1	0	0	0	0	0	15	0	16	3	0	0	0	4	0	17	0	4	0	0	0	0	0	0	10	0	2	0	7	0	0	0	0	0	13	0	0	0	0	0	12	5	0	2	16	0	0	0	0	0	3	7	16	5	0	7	0	0	0	0	0
"g__Thermophilibacter"	1	7	0	2	1	0	0	0	1	8	3	0	4	0	3	1	0	4	0	6	0	2	5	3	1	40	1	0	1	1	3	1	0	1	0	0	0	1	1	0	2	1	0	1	6	7	1	1	0	0	2	1	0	0	2	3	1	0	5	0	3	6	1	0	0	11	1	2	0	7	6	1	3	0	1	0	1	1	1	4	1	0	2	1	0	0	3	1	2	0	0	1	1	0	2	2	0	2	12	0	1	3	5	0	0	1	0	3	0	1	1	0	3	3	3	1	0	0	2
"g__Kineothrix"	1	2	0	2	0	2	0	0	1	4	2	7	3	0	0	2	1	2	2	1	0	2	0	0	0	0	0	5	2	2	2	1	0	1	3	1	3	0	1	0	0	2	0	0	1	0	1	2	0	3	2	2	8	2	2	3	3	1	3	0	6	1	2	1	1	2	3	0	4	0	1	0	1	4	0	4	1	2	2	1	2	1	2	3	2	11	1	2	2	1	1	1	0	1	0	2	2	0	4	2	1	2	2	3	2	4	3	1	2	2	12	3	1	0	3	2	2	8	5
"g__Anaeromassilibacillus"	0	4	2	0	1	2	2	5	5	2	3	0	1	0	1	4	0	1	0	2	0	1	1	0	0	1	0	0	0	1	2	1	0	0	0	2	0	0	3	3	0	0	0	0	1	1	4	0	0	0	5	6	0	0	0	13	0	8	2	0	3	5	0	0	0	1	0	0	0	1	0	6	0	6	0	0	1	2	1	0	8	0	5	1	0	0	8	3	8	0	0	1	1	3	1	0	0	0	6	0	0	4	0	1	1	0	0	3	0	11	11	0	8	0	0	0	0	2	0
"g__Eisenbergiella"	1	0	0	2	3	1	0	2	0	0	4	0	13	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	6	0	1	1	0	3	0	1	0	0	6	0	0	0	0	4	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	12	7	0	0	0	0	1	0	0	3	8	2	1	0	4	0	0	5	6	2	7	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	11	0	0	6	1	0	0	13	0	1	1	6
"g__Muribaculum"	0	0	0	0	0	0	11	0	8	0	0	6	0	0	1	0	0	4	0	0	0	0	0	11	0	9	0	0	0	4	0	0	0	0	0	0	0	7	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	18	3	0	0	0	0	1	0	0	17	0	0	0	0	1	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	5	1	0	21	2	0	0	1	0	8	0
"g__Enterococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	154	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"g__Anaerocolumna"	0	1	0	1	0	2	0	0	2	0	0	0	1	0	0	0	3	0	1	0	0	0	1	0	1	0	0	0	1	3	1	2	1	3	2	1	1	1	1	1	0	2	0	3	1	0	1	0	1	3	1	0	5	6	1	2	2	2	0	0	5	0	3	0	0	4	1	0	2	0	0	3	1	0	2	2	0	1	2	1	2	2	1	0	3	9	1	1	3	0	0	0	1	0	0	2	1	1	1	1	0	1	0	0	4	0	1	0	2	2	2	3	1	1	2	3	2	14	1
"g__Sodaliphilus"	1	0	0	0	1	0	0	1	0	1	1	0	2	0	0	1	3	0	1	5	0	0	4	0	1	0	0	0	2	0	3	2	0	3	0	0	0	0	3	0	0	1	1	1	5	0	6	1	0	2	0	2	4	0	1	0	0	2	0	0	0	1	0	0	0	0	0	6	0	0	2	0	2	2	1	1	0	2	1	0	4	0	5	0	0	3	1	5	0	3	5	0	0	0	0	0	1	3	1	0	0	4	11	0	0	0	0	1	0	5	7	0	0	2	0	4	0	0	3
"g__Gemella"	0	1	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	1	0	0	0	4	1	0	0	0	4	0	0	0	75	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	3	0	1	0	2	1	1	2	0	0	0	1	7	0	3	0	0	0	0	0	0
"g__Aggregatibacter"	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
"g__Eubacterium"	0	2	1	1	1	1	1	0	18	5	2	2	2	0	1	0	0	1	1	0	0	1	1	8	0	2	0	0	0	2	1	1	0	0	1	0	0	13	0	0	1	0	1	1	3	1	0	0	0	1	0	2	0	0	0	1	0	1	2	0	5	0	1	0	5	1	7	0	0	0	1	1	0	2	0	1	0	0	1	0	1	0	1	0	1	1	0	2	0	1	0	0	0	0	0	0	2	0	0	4	0	3	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	3	0
"g__Caecibacter"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	7	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	2	1	1	2	0	1	0	1	0	5	0	0	11	2	0	1	0	3	0	1	0	1	0	1	0	0	0	1	9	2	1	2	3	1	1	1	8	0	3	0	0	0	2	1	0	0	1	0	0	1	0	7	0	3	0	0	1	2	1	2	0	5	2	2	8	0
"g__Parolsenella"	0	1	1	0	1	1	0	1	0	4	1	0	3	2	4	3	1	1	0	2	4	0	1	0	0	23	0	2	1	0	0	2	0	7	0	1	2	2	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	2	0	0	1	0	2	0	2	0	0	3	1	2	0	4	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	2	6	1	0	0	0	2
"g__Alistipes"	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	3	9	0	0	0	2	0	4	0	1	0	0	1	3	0	2	0	0	0	0	0	2	3	1	4	0	3	0	0	0	4	0	0	0	3	2	0	0	3	0	0	0	1	0	1	3	0	0	0	0	2	0	0	4	5	0	0	0	3	4	0	8	9	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	7	1	0	2	2	0	1	0	0	0	0	3
"g__Alloprevotella"	1	0	0	2	0	2	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	1	0	1	1	4	2	0	2	0	0	1	4	6	4	1	1	0	1	0	0	0	3	1	3	0	0	1	0	0	0	4	4	1	3	2	1	0	0	2	0	2	0	3	6	0	0	2	0	2	0	2	1	0	0	0	0	0	1	3	0	0	0	1	1	0	3	0	0	0	0	10	7	0	0	0	1	1	1	0	2
"g__Catenibacillus"	0	2	0	0	5	0	0	0	5	13	3	2	2	0	1	0	0	1	2	0	0	2	5	1	0	1	0	0	0	1	4	0	0	0	0	0	0	1	0	0	2	0	0	0	15	1	1	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	0	6	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	4	7	3	0	0	0	0	0	0	2	1	0	0	0	1	0	1	1
"g__Pantoea"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	9	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	2	0	26	0	3	11	0	0	0	0	0	0
"g__Roseburia"	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	2	1	0	0	0	0	1	0	2	5	2	1	4	1	0	0	0	5	0	1	0	0	1	1	0	1	0	0	0	1	2	1	2	2	1	1	0	2	0	1	0	1	6	0	1	4	3	0	0	0	0	0	0	2	0	0	2	0	0	1	1	1	0	1	0	0	1	4	2	1	0	1	2	1	10	3
"g__Canicola"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	2	0	0	0	1	0	0
"g__Qiania"	0	0	0	2	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	4	3	2	1	4	0	0	0	3	2	3	0	0	2	0	0	2	0	0	1	0	1	0	2	0	0	2	0	1	1	2	0	1	7	1	1	4	5	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2	1	3	1	0	1	2	0	11	1
"g__Neisseria"	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	4	0
"g__Hungatella"	0	0	1	3	1	1	0	2	10	1	1	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	3	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	5	0	1	0	1	0	1	0	0	0	1	1	0	2	0	0	0	2	1	0	3	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	1	6	2	0	1	3	2	0	2	1
"g__Marseilla"	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	2	0	0	0	1	3	0	0	1	0	1	0	0	0	1	2	3	1	2	0	2	0	0	0	3	0	2	0	0	0	2	0	0	0	6	1	4	1	0	1	0	1	0	0	0	1	2	0	3	2	0	2	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	7	5	1	1	0	0	2	0	0	2
"g__Gluceribacter"	0	0	0	3	0	0	0	0	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1	1	1	0	3	0	0	0	1	1	2	0	1	0	2	0	1	1	0	2	1	0	0	0	1	0	1	2	2	5	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	6	1	0	0	1	1	1	7	0
"g__Jingyaoa"	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	2	1	1	0	2	1	0	0	2	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	2	2	0	0	0	1	1	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	6	1	1	1	0	0	0	5	0
"g__Murimonas"	0	0	0	2	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	3	0	1	1	0	4	0	0	0	0	1	0	0	0	0	0	3	0	1	2	1	0	0	0	0	2	0	2	0	0	4	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	2	0	0	0	0	2	1	0	1	5	1	0	0	1	0	0	3	0
"g__Olsenella"	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	1	0	3	0	0	1	1	1	1	0	0	3	0	0	0	3	2	0	0	1	0	0	2	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	2	4	0	0	0	1	0	1	0	1	0
"g__Abiotrophia"	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	9	0	0	6	0	0	0	1	0	1	0	1	0	2	1	0	0	0	0	10	0	4	0	0	1	0	0	0
"g__Syntrophococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	2	0	3	0	0	23	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0
"g__Faecalimonas"	0	0	0	3	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	2	0	1	0	1	0	0	0	3	1	1	0	0	1	1	0	0	0	2	1	0	2	1	2	0	0	0	0	2	0	1	0	0	2	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	0	1	4	2	0	0	0	0	0	2	0
"g__Drancourtella"	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	2	0	1	0	1	1	0	0	2	1	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	3	0	1	3	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	8	1	0	0	0	1	0	3	0
"g__Leyella"	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	1	6	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	5	1	0	0	0	0	8	0
"g__Proteus"	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"g__Veillonella"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	7	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g__Caecibacteroides"	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	3	0	4	0	0	0	1	0	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
"g__Diplocloster"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	1	0	0	1	1	0	2	0
"g__Granulicatella"	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	4	0	0	0	0	0	0
"g__Latilactobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	7	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Corynebacterium"	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0
"g__Pasteurella"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
"g__Merdimonas"	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"g__Bariatricus"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	1	0
"g__Atlantibacter"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"g__Mannheimia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
"g__Anaeroglobus"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0
"g__Cuneatibacter"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
